#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72535.1           -           1396 1547at5820           -           1023  4.8e-152  506.3  36.6   1   2  9.2e-155  4.8e-152  506.3  36.6   349   857   280   790   237   958 0.82 chromatin remodeling protein, putative [Plasmodium vivax]
SCO73963.1           -           1529 1547at5820           -           1023   1.5e-24   84.3  22.7   5   5   8.1e-12   4.2e-09   33.1   0.1   754   835  1416  1498  1318  1507 0.74 DNA repair protein RAD5, putative [Plasmodium vivax]
SCO75518.1           -            717 1547at5820           -           1023   1.1e-05   21.9   0.3   1   1   3.8e-08     2e-05   20.9   0.3   700   801   574   672   540   680 0.81 DNA helicase 60, putative [Plasmodium vivax]
SCO73062.1           -            667 1547at5820           -           1023   0.00023   17.4   0.0   1   2         1   5.5e+02   -3.7   9.1    75   274    67   152    30   192 0.52 RNA helicase 1, putative [Plasmodium vivax]
SCO73062.1           -            667 1547at5820           -           1023   0.00023   17.4   0.0   2   2   4.5e-07   0.00023   17.4   0.0   698   803   467   569   453   587 0.86 RNA helicase 1, putative [Plasmodium vivax]
SCO74223.1           -            398 1547at5820           -           1023   0.00049   16.4   1.4   1   2      0.22   1.2e+02   -1.5   0.0   325   362   208   244   195   247 0.90 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO74223.1           -            398 1547at5820           -           1023   0.00049   16.4   1.4   2   2   1.9e-06   0.00098   15.4   0.7   704   810   266   367   256   385 0.88 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1547at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1547at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1547at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:34:28 2026
# [ok]
