#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70585.1           -           1463 1563at5820           -            937   3.2e-68  229.2  20.3   1   3   1.4e-23   1.1e-20   71.8   1.7     9   113   766   878   760   887 0.89 kinesin-8, putative [Plasmodium vivax]
SCO72949.1           -            800 1563at5820           -            937   3.5e-16   56.9  52.2   1   5   5.3e-11   4.2e-08   30.2   3.4    16   113     5   108     2   126 0.84 kinesin-like protein, putative [Plasmodium vivax]
SCO72949.1           -            800 1563at5820           -            937   3.5e-16   56.9  52.2   2   5   7.1e-08   5.6e-05   19.9  11.3   174   325   138   293   129   306 0.78 kinesin-like protein, putative [Plasmodium vivax]
SCO72949.1           -            800 1563at5820           -            937   3.5e-16   56.9  52.2   3   5   2.8e-11   2.2e-08   31.1   0.3   329   388   321   380   314   390 0.91 kinesin-like protein, putative [Plasmodium vivax]
SCO72949.1           -            800 1563at5820           -            937   3.5e-16   56.9  52.2   4   5      0.55   4.3e+02   -3.0   7.2   778   831   463   521   411   536 0.54 kinesin-like protein, putative [Plasmodium vivax]
SCO72949.1           -            800 1563at5820           -            937   3.5e-16   56.9  52.2   5   5     0.057        45    0.3   1.2   682   751   685   755   672   788 0.65 kinesin-like protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1563at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1563at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1563at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:34:40 2026
# [ok]
