#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72795.1           -            156 14831at5820          -            106   2.1e-37  126.0  12.2   1   2   1.2e-39   2.1e-37  126.0  12.2     1   101     1   112     1   119 0.78 RNA-binding protein s1, putative [Plasmodium vivax]
SCO71923.1           -            340 14831at5820          -            106      0.61    8.8   9.7   1   1   9.8e-05     0.018   13.7   2.4     3    85   169   255   167   277 0.64 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO75377.1           -            746 14831at5820          -            106       1.4    7.6   6.9   1   2       2.6   4.6e+02   -0.5   0.1    32    92   149   212   129   219 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75377.1           -            746 14831at5820          -            106       1.4    7.6   6.9   2   2    0.0038      0.68    8.6   2.3    11    60   240   291   231   301 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14831at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14831at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14831at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:16 2026
# [ok]
