#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73100.1           -            964 7767at5820           -            425  9.1e-197  652.6 144.9   1   5  3.6e-112  2.3e-109  364.6  15.8     1   203    14   217    14   226 0.82 zinc finger protein, putative [Plasmodium vivax]
SCO72227.1           -            510 7767at5820           -            425     1e-25   89.0   7.4   3   3      0.56   3.6e+02   -1.7   0.6   234   262   447   479   396   506 0.49 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO73500.1           -            965 7767at5820           -            425   6.1e-22   76.6   6.4   1   5   9.6e-25   6.1e-22   76.6   6.4    14   117     8   113     3   121 0.91 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7767at5820           -            425   6.1e-22   76.6   6.4   2   5        10   6.3e+03  -23.7  29.8   169   316   181   327   171   333 0.37 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7767at5820           -            425   6.1e-22   76.6   6.4   3   5        10   6.3e+03  -11.8  17.2   148   236   278   362   260   378 0.51 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7767at5820           -            425   6.1e-22   76.6   6.4   4   5         4   2.5e+03   -4.5   5.0   218   267   501   551   457   589 0.59 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7767at5820           -            425   6.1e-22   76.6   6.4   5   5        10   6.3e+03   -9.2  13.0   139   272   799   938   784   953 0.57 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7767at5820           -            425   1.2e-21   75.6  11.5   1   7        10   6.3e+03  -17.2  22.4   172   325    50   212    14   224 0.55 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7767at5820           -            425   1.2e-21   75.6  11.5   2   7     2e-24   1.2e-21   75.6  11.5    16   117   384   489   378   499 0.88 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7767at5820           -            425   1.2e-21   75.6  11.5   3   7        10   6.3e+03  -10.8  10.5   149   202   672   727   654   754 0.42 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7767at5820           -            425   1.2e-21   75.6  11.5   4   7        10   6.3e+03  -15.6  17.0   133   264  1109  1243  1093  1260 0.46 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7767at5820           -            425   1.2e-21   75.6  11.5   5   7         1   6.5e+02   -2.6   3.6   171   222  1332  1383  1324  1436 0.79 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7767at5820           -            425   1.2e-21   75.6  11.5   6   7        10   6.3e+03   -6.5   5.9   158   227  1675  1745  1655  1751 0.69 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7767at5820           -            425   1.2e-21   75.6  11.5   7   7       1.7   1.1e+03   -3.3   0.0   139   190  1781  1833  1752  1866 0.69 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7767at5820           -            425   9.2e-19   66.1   8.9   1   6        10   6.3e+03   -8.1   7.9   148   248   219   320   181   340 0.59 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7767at5820           -            425   9.2e-19   66.1   8.9   2   6   1.5e-21   9.2e-19   66.1   8.9    15   117   486   588   481   593 0.95 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7767at5820           -            425   9.2e-19   66.1   8.9   3   6        10   6.3e+03  -11.6  10.0   164   249  1353  1440  1329  1471 0.52 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7767at5820           -            425   9.2e-19   66.1   8.9   4   6        10   6.3e+03   -7.9   6.7   296   309  1625  1638  1565  1711 0.55 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7767at5820           -            425   9.2e-19   66.1   8.9   5   6        10   6.3e+03   -6.8   8.0   159   211  1816  1871  1784  1881 0.46 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7767at5820           -            425   9.2e-19   66.1   8.9   6   6       6.9   4.3e+03   -5.3   4.7   153   205  1897  1949  1881  1960 0.77 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 7767at5820           -            425   1.1e-17   62.5  29.7   1   3   1.8e-20   1.1e-17   62.5  29.7    14   221    21   230    11   296 0.65 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 7767at5820           -            425   1.1e-17   62.5  29.7   2   3       1.1     7e+02   -2.7   2.0   222   277   412   468   334   512 0.53 zinc finger protein, putative [Plasmodium vivax]
SCO74680.1           -           1010 7767at5820           -            425   1.1e-17   62.5  29.7   3   3        10   6.3e+03   -6.8  10.0   206   295   845   940   783  1007 0.57 zinc finger protein, putative [Plasmodium vivax]
SCO72029.1           -           1234 7767at5820           -            425   1.2e-15   55.8   1.5   1   2     2e-18   1.2e-15   55.8   1.5    17   143     2   125     1   179 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO72029.1           -           1234 7767at5820           -            425   1.2e-15   55.8   1.5   2   2       7.1   4.4e+03   -5.3   2.1   170   171   392   393   340   444 0.49 zinc finger protein, putative [Plasmodium vivax]
SCO71563.1           -           1463 7767at5820           -            425   1.7e-14   52.1   5.4   1   2   2.7e-17   1.7e-14   52.1   5.4    22   116     1    91     1    95 0.95 zinc finger protein, putative [Plasmodium vivax]
SCO71563.1           -           1463 7767at5820           -            425   1.7e-14   52.1   5.4   2   2       3.5   2.2e+03   -4.3   0.4   190   221   202   235   169   245 0.50 zinc finger protein, putative [Plasmodium vivax]
SCO74826.1           -           1285 7767at5820           -            425   2.7e-09   34.9   3.2   1   1   7.1e-12   4.4e-09   34.2   3.2    46   118   179   251   163   259 0.91 zinc finger protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:04:15 2026
# [ok]
