#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74545.1           -            928 3557at5820           -            694         0 1100.1  77.8   1   3   3.2e-85   3.3e-82  275.6  11.0     1   247     1   259     1   269 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71286.1           -            824 3557at5820           -            694   2.5e-30  104.1  16.2   2   3   2.9e-16     3e-13   47.7   0.2   358   533   404   578   387   588 0.84 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO71286.1           -            824 3557at5820           -            694   2.5e-30  104.1  16.2   3   3   2.4e-10   2.5e-07   28.1   2.2   537   686   643   800   637   807 0.81 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:31 2026
# [ok]
