#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71141.1           -            191 12974at5820          -            164   7.5e-78  258.4  12.4   1   1   1.7e-80   8.7e-78  258.2  12.4    12   163    31   190    17   191 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72783.1           -           1002 12974at5820          -            164   2.1e-15   55.4  42.0   4   4   2.3e-08   1.2e-05   23.6   6.6    45    96   317   369   311   376 0.85 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 12974at5820          -            164   5.8e-13   47.4  32.9   1   3   5.6e-09   2.9e-06   25.6   5.4    46   103    45   101    38   103 0.89 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 12974at5820          -            164   5.8e-13   47.4  32.9   2   3   7.8e-12   4.1e-09   34.9  11.3    18    97    61   142    56   149 0.88 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 12974at5820          -            164   5.8e-13   47.4  32.9   3   3     6e-05     0.031   12.5  12.4    40    88   177   228   147   253 0.70 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO73241.1           -           1374 12974at5820          -            164   9.6e-11   40.2  47.8   1   5         3   1.6e+03   -2.8   0.3    86   107   216   237   202   258 0.75 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 12974at5820          -            164   9.6e-11   40.2  47.8   2   5         7   3.7e+03   -4.0   0.6    55    55   734   734   705   777 0.55 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 12974at5820          -            164   9.6e-11   40.2  47.8   3   5   1.4e-10   7.5e-08   30.8  15.7    22   138   825   945   804   946 0.82 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 12974at5820          -            164   9.6e-11   40.2  47.8   4   5   2.2e-07   0.00012   20.4   8.6    24   135   921  1031   914  1067 0.73 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 12974at5820          -            164   9.6e-11   40.2  47.8   5   5   3.5e-06    0.0018   16.5   1.9    45    89  1263  1307  1231  1359 0.71 MORN repeat protein, putative [Plasmodium vivax]
SCO74943.1           -            798 12974at5820          -            164   9.9e-11   40.1  15.1   1   2       3.3   1.7e+03   -2.9   0.2   114   128    36    50    20    54 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74943.1           -            798 12974at5820          -            164   9.9e-11   40.1  15.1   2   2   1.9e-13   9.9e-11   40.1  15.1     7   127    72   196    66   231 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73208.1           -           1366 12974at5820          -            164   1.6e-09   36.2  41.6   1   4     1e-06   0.00053   18.3   5.1    18    88    71   152    58   160 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73208.1           -           1366 12974at5820          -            164   1.6e-09   36.2  41.6   2   4     0.011       5.8    5.1   6.2    48   104   164   219   157   225 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73208.1           -           1366 12974at5820          -            164   1.6e-09   36.2  41.6   3   4    0.0067       3.5    5.9   0.7    71    91   250   270   240   277 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73208.1           -           1366 12974at5820          -            164   1.6e-09   36.2  41.6   4   4   3.6e-08   1.9e-05   23.0   6.9    48   109   287   342   273   363 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74818.1           -            148 12974at5820          -            164   9.9e-09   33.6   5.5   1   1   2.5e-11   1.3e-08   33.3   5.5    60   131    11    83     6   117 0.74 MORN repeat protein, putative [Plasmodium vivax]
SCO72016.1           -           1177 12974at5820          -            164   8.7e-05   20.8  17.7   1   2   1.1e-06   0.00058   18.2   4.4    66   103    38    75    30    78 0.94 protein kinase, putative [Plasmodium vivax]
SCO72016.1           -           1177 12974at5820          -            164   8.7e-05   20.8  17.7   2   2    0.0029       1.5    7.0   5.5    59   132    78   149    74   174 0.72 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 12974at5820          -            164   0.00096   17.4   2.6   1   1   5.5e-06    0.0029   15.9   2.6    49   104    19    74     7    98 0.79 protein kinase, putative [Plasmodium vivax]
SCO71073.1           -           1029 12974at5820          -            164    0.0049   15.1  11.0   1   2   0.00029      0.15   10.3   3.4    45    83    14    52     2    67 0.63 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 12974at5820          -            164    0.0049   15.1  11.0   2   2    0.0012      0.63    8.3   0.9     4    51    70   118    66   128 0.76 tyrosine kinase-like protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12974at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:01 2026
# [ok]
