#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71909.1           -            719 4609at5820           -            472  1.3e-231  767.9   8.9   1   4  9.4e-121  4.9e-118  393.3   0.2     6   215    24   235    20   249 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71045.1           -            302 4609at5820           -            472   0.00098   16.4   5.7   2   2    0.0027       1.4    6.0   0.6    15   156   135   280   131   294 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72060.1           -           1172 4609at5820           -            472     0.001   16.4  13.3   1   4      0.51   2.7e+02   -1.5   0.2   384   462   355   434   348   444 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72060.1           -           1172 4609at5820           -            472     0.001   16.4  13.3   2   4     2e-06     0.001   16.4  13.3   212   374   445   616   435   634 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72060.1           -           1172 4609at5820           -            472     0.001   16.4  13.3   3   4    0.0003      0.16    9.2   0.7    59   127   662   730   652   736 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72060.1           -           1172 4609at5820           -            472     0.001   16.4  13.3   4   4       2.7   1.4e+03   -3.9   0.1    91   125  1072  1106  1068  1118 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74089.1           -           1043 4609at5820           -            472    0.0012   16.1   1.3   1   2    0.0021       1.1    6.4   0.2    83   188   247   351   243   365 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74089.1           -           1043 4609at5820           -            472    0.0012   16.1   1.3   2   2    0.0007      0.37    8.0   0.1   332   386   435   489   421   522 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 4609at5820           -            472      0.16    9.2  12.5   1   2   4.2e-05     0.022   12.0   3.2   349   414   251   316   205   330 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 4609at5820           -            472      0.16    9.2  12.5   2   2     0.042        22    2.1   1.9    69   161   469   558   457   593 0.63 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72261.1           -            543 4609at5820           -            472       0.2    8.8  56.4   1   4   2.2e-05     0.012   12.9   0.8    13    93    44   123    36   124 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72261.1           -            543 4609at5820           -            472       0.2    8.8  56.4   2   4   8.7e-06    0.0045   14.3  23.8   233   394   115   281   109   297 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72261.1           -            543 4609at5820           -            472       0.2    8.8  56.4   3   4       4.7   2.5e+03   -4.7   6.6   333   371   323   361   303   402 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72261.1           -            543 4609at5820           -            472       0.2    8.8  56.4   4   4     0.019        10    3.2   4.3   334   377   489   534   466   542 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71885.1           -            769 4609at5820           -            472       3.8    4.6  30.8   1   5     0.055        29    1.7   2.4   401   460   239   301   224   310 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71885.1           -            769 4609at5820           -            472       3.8    4.6  30.8   2   5    0.0082       4.3    4.4   0.0    54    86   433   465   425   487 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71885.1           -            769 4609at5820           -            472       3.8    4.6  30.8   3   5      0.45   2.4e+02   -1.3   1.2   358   386   515   543   509   585 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71885.1           -            769 4609at5820           -            472       3.8    4.6  30.8   4   5      0.01       5.3    4.1   0.7   334   388   609   666   589   671 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71885.1           -            769 4609at5820           -            472       3.8    4.6  30.8   5   5   4.9e-05     0.026   11.8   2.9    50   114   661   725   658   739 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 4609at5820           -            472       4.2    4.5  26.2   1   5      0.87   4.5e+02   -2.2   0.1    92   120    93   124    83   137 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 4609at5820           -            472       4.2    4.5  26.2   2   5      0.02        11    3.1   0.1    52    90   185   223   182   238 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 4609at5820           -            472       4.2    4.5  26.2   3   5    0.0019      0.99    6.5   2.8   235   273   341   381   329   389 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 4609at5820           -            472       4.2    4.5  26.2   4   5     0.055        29    1.7   0.2    58   125   549   623   541   648 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73773.1           -           1215 4609at5820           -            472       4.2    4.5  26.2   5   5     0.038        20    2.3   0.1   284   328   744   789   731   805 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4609at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:49:23 2026
# [ok]
