#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71806.1           -           1119 3149at5820           -            567    1e-245  815.3  55.8   1   5   4.3e-67   2.7e-64  216.3   2.1     1   119     1   134     1   201 0.86 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO71260.1           -            318 3149at5820           -            567   3.5e-11   41.0   1.7   2   3   2.9e-05     0.018   12.2   0.0   480   559   131   215   126   220 0.78 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO71260.1           -            318 3149at5820           -            567   3.5e-11   41.0   1.7   3   3   0.00048       0.3    8.2   0.4   464   561   212   315   196   317 0.67 dicarboxylate/tricarboxylate carrier, putative [Plasmodium vivax]
SCO71843.1           -            520 3149at5820           -            567     5e-08   30.6  15.0   1   3    0.0041       2.6    5.1   0.5   304   374    98   169    89   216 0.61 transporter, putative [Plasmodium vivax]
SCO71843.1           -            520 3149at5820           -            567     5e-08   30.6  15.0   2   3   3.2e-06     0.002   15.3   2.5   479   560   220   300   187   306 0.72 transporter, putative [Plasmodium vivax]
SCO71843.1           -            520 3149at5820           -            567     5e-08   30.6  15.0   3   3   5.1e-07   0.00032   18.0   0.4   479   557   423   511   381   517 0.72 transporter, putative [Plasmodium vivax]
SCO75485.1           -            306 3149at5820           -            567   3.4e-06   24.5   0.1   1   3      0.15        93   -0.1   0.1   492   565    19    88    15    90 0.64 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75485.1           -            306 3149at5820           -            567   3.4e-06   24.5   0.1   2   3     0.081        51    0.8   2.1   469   537    84   147    65   158 0.76 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO75485.1           -            306 3149at5820           -            567   3.4e-06   24.5   0.1   3   3   5.4e-09   3.4e-06   24.5   0.1   482   544   228   290   223   297 0.92 mitochondrial carrier protein, putative [Plasmodium vivax]
SCO74600.1           -            323 3149at5820           -            567   5.7e-06   23.8   3.2   1   3   9.3e-08   5.8e-05   20.4   0.1   292   379    24   115     6   125 0.75 mitochondrial phosphate carrier protein, putative [Plasmodium vivax]
SCO74600.1           -            323 3149at5820           -            567   5.7e-06   23.8   3.2   2   3     0.012       7.6    3.5   0.2   461   537   113   188   101   212 0.77 mitochondrial phosphate carrier protein, putative [Plasmodium vivax]
SCO74600.1           -            323 3149at5820           -            567   5.7e-06   23.8   3.2   3   3      0.16     1e+02   -0.2   0.1   301   349   235   282   200   295 0.75 mitochondrial phosphate carrier protein, putative [Plasmodium vivax]
SCO71738.1           -            301 3149at5820           -            567    0.0069   13.6   6.0   1   3     0.034        21    2.1   0.3   478   550    12    92     5   102 0.60 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
SCO71738.1           -            301 3149at5820           -            567    0.0069   13.6   6.0   2   3   0.00014     0.091    9.9   2.6   460   557    94   200    77   213 0.68 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
SCO71738.1           -            301 3149at5820           -            567    0.0069   13.6   6.0   3   3     0.031        20    2.2   0.0   307   534   223   276   196   285 0.52 ADP/ATP transporter on adenylate translocase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3149at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3149at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:44 2026
# [ok]
