#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73485.1           -            181 13688at5820          -            142   7.5e-88  290.4  11.0   1   1   3.5e-90   9.2e-88  290.1  11.0     1   142    26   176    26   176 0.97 RNA-binding protein, putative [Plasmodium vivax]
SCO72353.1           -            299 13688at5820          -            142   1.4e-05   23.7   2.3   2   2       4.2   1.1e+03   -1.9   1.1    90   112   215   237   181   257 0.70 RNA-binding protein, putative [Plasmodium vivax]
SCO73179.1           -            316 13688at5820          -            142   4.7e-05   22.0   1.5   1   3   7.3e-06    0.0019   16.8   0.0    24    93     7    74     2    86 0.84 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73179.1           -            316 13688at5820          -            142   4.7e-05   22.0   1.5   2   3     0.085        22    3.6   0.0    66    89   144   167   137   192 0.76 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73179.1           -            316 13688at5820          -            142   4.7e-05   22.0   1.5   3   3         8   2.1e+03   -2.8   0.4    42    61   267   286   247   298 0.60 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73567.1           -            670 13688at5820          -            142   0.00017   20.2   2.5   1   2      0.39     1e+02    1.5   0.3    55    99    59   102    32   128 0.66 RNA binding function, putative [Plasmodium vivax]
SCO73567.1           -            670 13688at5820          -            142   0.00017   20.2   2.5   2   2   3.9e-06     0.001   17.7   0.1    23   100   129   207   116   215 0.81 RNA binding function, putative [Plasmodium vivax]
SCO73318.1           -            328 13688at5820          -            142   0.00018   20.1   0.0   1   1     7e-07   0.00018   20.1   0.0    32    95    19    83     8   104 0.80 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
SCO74171.1           -           1033 13688at5820          -            142    0.0002   20.0   6.7   1   3   8.1e-05     0.021   13.4   0.1    55   114   673   732   639   743 0.86 splicing factor 1, putative [Plasmodium vivax]
SCO74171.1           -           1033 13688at5820          -            142    0.0002   20.0   6.7   2   3    0.0033      0.87    8.2   0.0    31   113   751   832   736   855 0.75 splicing factor 1, putative [Plasmodium vivax]
SCO74171.1           -           1033 13688at5820          -            142    0.0002   20.0   6.7   3   3       1.6   4.3e+02   -0.5   0.0    52    94   976  1016   957  1021 0.75 splicing factor 1, putative [Plasmodium vivax]
SCO72111.1           -            192 13688at5820          -            142   0.00024   19.7   0.9   1   2   0.00018     0.046   12.3   0.5    28   109    13    95     5   109 0.74 U2 small nuclear ribonucleoprotein B'', putative [Plasmodium vivax]
SCO72111.1           -            192 13688at5820          -            142   0.00024   19.7   0.9   2   2     0.014       3.8    6.1   0.0    22    57   117   152   105   178 0.86 U2 small nuclear ribonucleoprotein B'', putative [Plasmodium vivax]
SCO73790.1           -            754 13688at5820          -            142   0.00031   19.4   0.6   1   3       2.5   6.5e+02   -1.1   0.0    70   112   452   496   416   516 0.69 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 13688at5820          -            142   0.00031   19.4   0.6   2   3      0.14        36    2.9   0.0    28   119   560   654   550   669 0.73 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO73790.1           -            754 13688at5820          -            142   0.00031   19.4   0.6   3   3   0.00013     0.033   12.8   0.1    27   101   677   750   668   753 0.85 polypyrimidine tract binding protein, putative [Plasmodium vivax]
SCO75286.1           -            124 13688at5820          -            142   0.00041   19.0   1.2   1   1   1.7e-06   0.00046   18.8   1.2    29   120    12   101     3   119 0.77 RNA-binding protein, putative [Plasmodium vivax]
SCO74458.1           -            786 13688at5820          -            142    0.0012   17.5   2.3   1   1   6.5e-06    0.0017   16.9   0.5    20   110    23   113    14   126 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO75004.1           -            119 13688at5820          -            142    0.0018   16.9   0.1   1   1   9.9e-06    0.0026   16.4   0.1    23    98    33   108    15   118 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO75496.1           -            110 13688at5820          -            142    0.0027   16.3   0.0   1   1   1.2e-05    0.0033   16.0   0.0    27    99    16    85     6   109 0.78 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO71995.1           -            202 13688at5820          -            142    0.0028   16.3   0.0   1   1   1.7e-05    0.0044   15.6   0.0    21   100    67   145    54   157 0.88 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13688at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13688at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13688at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:33:08 2026
# [ok]
