#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75608.1           -            499 10096at5820          -            271    2e-147  488.5  26.5   1   4   3.5e-58     9e-56  188.0   3.7     1   110     1   114     1   120 0.96 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO71591.1           -           1539 10096at5820          -            271   9.4e-18   63.3   2.5   2   2   1.3e-18   3.3e-16   58.3   1.6   172   270   414   518   376   519 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO74870.1           -            475 10096at5820          -            271   4.9e-16   57.7   3.7   1   2    0.0027       0.7    8.0   0.0   191   252    19    81     7    86 0.82 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO74870.1           -            475 10096at5820          -            271   4.9e-16   57.7   3.7   2   2   6.3e-16   1.6e-13   49.4   1.7   176   265    91   180    79   188 0.90 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO71367.1           -            361 10096at5820          -            271   1.1e-07   30.3   1.1   1   2   0.00018     0.047   11.9   0.1   193   244   119   171   104   190 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO71367.1           -            361 10096at5820          -            271   1.1e-07   30.3   1.1   2   2   4.4e-06    0.0011   17.2   0.1   193   249   203   259   189   275 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO71923.1           -            340 10096at5820          -            271   2.4e-07   29.2  12.0   1   2   2.7e-08   7.1e-06   24.4   0.0   185   250    80   145    55   163 0.83 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO71923.1           -            340 10096at5820          -            271   2.4e-07   29.2  12.0   2   2      0.11        30    2.7  11.5    16   131   170   286   164   295 0.66 RNA-binding protein musashi, putative [Plasmodium vivax]
SCO71964.1           -            475 10096at5820          -            271   1.4e-06   26.7   0.3   1   2   5.7e-06    0.0015   16.8   0.0   192   243    95   146    81   169 0.87 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO71964.1           -            475 10096at5820          -            271   1.4e-06   26.7   0.3   2   2    0.0033      0.85    7.7   0.0   208   249   322   364   278   379 0.73 U4/U6 snRNA-associated-splicing factor, putative [Plasmodium vivax]
SCO74171.1           -           1033 10096at5820          -            271     2e-06   26.2   0.0   1   2     0.094        25    3.0   0.0   222   270   674   721   631   722 0.74 splicing factor 1, putative [Plasmodium vivax]
SCO74171.1           -           1033 10096at5820          -            271     2e-06   26.2   0.0   2   2   3.6e-07   9.4e-05   20.7   0.0   203   266   755   819   748   824 0.92 splicing factor 1, putative [Plasmodium vivax]
SCO72209.1           -            250 10096at5820          -            271   9.1e-06   24.0   0.0   1   2   1.3e-05    0.0035   15.6   0.0   186   264    15    93     4   100 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO72209.1           -            250 10096at5820          -            271   9.1e-06   24.0   0.0   2   2    0.0071       1.9    6.6   0.0   190   267   170   247   157   250 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO72353.1           -            299 10096at5820          -            271   1.3e-05   23.5   0.0   1   1   9.3e-08   2.4e-05   22.6   0.0   190   262    34   107    19   112 0.89 RNA-binding protein, putative [Plasmodium vivax]
SCO75286.1           -            124 10096at5820          -            271   3.5e-05   22.1   0.2   1   1     2e-07   5.2e-05   21.6   0.2   196   268    12    85     3    91 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO75496.1           -            110 10096at5820          -            271   3.8e-05   22.0   0.0   1   1   1.9e-07   5.1e-05   21.6   0.0   194   264    16    84     7    89 0.90 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO73700.1           -            153 10096at5820          -            271   3.9e-05   22.0   3.9   1   1   1.8e-07   4.7e-05   21.7   3.9   162   264    29   133    13   139 0.81 RNA and export factor binding protein, putative [Plasmodium vivax]
SCO72684.1           -            208 10096at5820          -            271   7.5e-05   21.0   0.1   1   1   4.1e-07   0.00011   20.5   0.1   187   266     3    82     1    89 0.90 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO72111.1           -            192 10096at5820          -            271   9.6e-05   20.7   0.7   1   2     1e-06   0.00026   19.3   0.1   208   268    30    88     7    91 0.87 U2 small nuclear ribonucleoprotein B'', putative [Plasmodium vivax]
SCO72111.1           -            192 10096at5820          -            271   9.6e-05   20.7   0.7   2   2       2.1   5.4e+02   -1.5   0.0    17    37   121   141   114   153 0.82 U2 small nuclear ribonucleoprotein B'', putative [Plasmodium vivax]
SCO72051.1           -            287 10096at5820          -            271   0.00035   18.9   6.4   1   3    0.0031       0.8    7.8   0.1   205   264    58   113    28   121 0.70 RNA-binding protein, putative [Plasmodium vivax]
SCO72051.1           -            287 10096at5820          -            271   0.00035   18.9   6.4   2   3       3.9     1e+03   -2.4   0.6   149   164   127   142   120   157 0.54 RNA-binding protein, putative [Plasmodium vivax]
SCO72051.1           -            287 10096at5820          -            271   0.00035   18.9   6.4   3   3   3.3e-05    0.0087   14.3   0.0   191   266   209   284   187   286 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO72090.1           -            725 10096at5820          -            271   0.00063   18.0   0.0   1   1   4.2e-06    0.0011   17.2   0.0   192   263     7    79     2    86 0.87 mRNA processing protein, putative [Plasmodium vivax]
SCO74222.1           -            911 10096at5820          -            271    0.0009   17.5   0.2   1   2       3.7   9.7e+02   -2.3   0.0    15    38   540   563   533   570 0.80 splicing factor U2AF large subunit, putative [Plasmodium vivax]
SCO74222.1           -            911 10096at5820          -            271    0.0009   17.5   0.2   2   2   1.2e-05    0.0032   15.7   0.1   187   265   669   748   661   753 0.89 splicing factor U2AF large subunit, putative [Plasmodium vivax]
SCO71382.1           -            480 10096at5820          -            271    0.0017   16.6   0.1   1   2       9.2   2.4e+03   -3.6   7.6   104   155   189   236   162   285 0.56 RNA-binding protein, putative [Plasmodium vivax]
SCO71382.1           -            480 10096at5820          -            271    0.0017   16.6   0.1   2   2   6.5e-06    0.0017   16.6   0.1   183   264   393   477   367   480 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO75004.1           -            119 10096at5820          -            271    0.0064   14.7   0.0   1   1     3e-05    0.0078   14.4   0.0   187   260    30   104     2   113 0.80 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10096at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10096at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10096at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:40 2026
# [ok]
