#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73208.1           -           1366 2594at5820           -           1171         0 1353.4  29.3   1   1         0         0 1349.2  29.3     6  1170    11  1365     9  1366 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74298.1           -            326 2594at5820           -           1171   5.2e-08   29.6  36.7   1   2   0.00049      0.28    7.3   3.7   259   296    49    86    40    93 0.88 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 2594at5820           -           1171   5.2e-08   29.6  36.7   2   2   2.7e-09   1.5e-06   24.7   5.4   253   319    89   155    84   174 0.93 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO73241.1           -           1374 2594at5820           -           1171   5.5e-07   26.2  53.1   1   4      0.43   2.5e+02   -2.5   0.3  1051  1107   670   725   659   733 0.62 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 2594at5820           -           1171   5.5e-07   26.2  53.1   2   4   0.00033      0.19    7.8  13.5    48   160   787   888   719   890 0.77 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 2594at5820           -           1171   5.5e-07   26.2  53.1   3   4     1e-08     6e-06   22.7  15.6    67   191   874   987   872  1028 0.90 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 2594at5820           -           1171   5.5e-07   26.2  53.1   4   4   1.1e-05    0.0065   12.7   6.6   249   322  1258  1330  1243  1333 0.89 MORN repeat protein, putative [Plasmodium vivax]
SCO71141.1           -            191 2594at5820           -           1171   5.7e-05   19.5  16.6   1   2    0.0016      0.94    5.5   0.3   166   192    38    64    30    68 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71141.1           -            191 2594at5820           -           1171   5.7e-05   19.5  16.6   2   2   8.2e-07   0.00047   16.5  11.5   259   296    71   109    65   131 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72016.1           -           1177 2594at5820           -           1171      0.01   12.0  19.9   1   2   1.3e-05    0.0074   12.5   2.7   273   299    36    62    34    68 0.91 protein kinase, putative [Plasmodium vivax]
SCO72016.1           -           1177 2594at5820           -           1171      0.01   12.0  19.9   2   2    0.0014      0.82    5.7   8.5   259   311    69   120    64   143 0.83 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2594at5820           -           1171      0.16    8.1  21.9   1   3     2e-05     0.012   11.8   3.9   267   322    29    84    16   104 0.86 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2594at5820           -           1171      0.16    8.1  21.9   2   3   0.00018       0.1    8.7   1.8   790   921   346   559   337   567 0.60 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 2594at5820           -           1171      0.16    8.1  21.9   3   3      0.61   3.5e+02   -3.0   1.5   914   914  1026  1026   969  1069 0.48 protein kinase, putative [Plasmodium vivax]
SCO71073.1           -           1029 2594at5820           -           1171      0.21    7.7  23.9   1   3   0.00017     0.097    8.8   8.7   251   295    11    55     2    83 0.83 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 2594at5820           -           1171      0.21    7.7  23.9   2   3   0.00038      0.22    7.6   2.3   277   317    91   132    85   138 0.87 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO71073.1           -           1029 2594at5820           -           1171      0.21    7.7  23.9   3   3      0.15        84   -0.9   0.2   693   751   611   660   567   688 0.50 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO72509.1           -            320 2594at5820           -           1171      0.31    7.1  21.1   1   2     1e-05    0.0059   12.8  13.9   638   742    59   161    34   175 0.42 hypothetical protein, conserved [Plasmodium vivax]
SCO72509.1           -            320 2594at5820           -           1171      0.31    7.1  21.1   2   2      0.36   2.1e+02   -2.2   0.6  1025  1066   267   303   226   314 0.53 hypothetical protein, conserved [Plasmodium vivax]
SCO74818.1           -            148 2594at5820           -           1171      0.36    6.9   7.3   1   1   0.00035       0.2    7.8   4.8   272   315    14    57     8    64 0.70 MORN repeat protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2594at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2594at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2594at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:41:08 2026
# [ok]
