#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75462.1           -            839 3491at5820           -            604  7.3e-302 1001.0  71.2   1   5    4e-271  1.6e-268  890.9  42.7     1   464    31   522    31   533 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71998.1           -            975 3491at5820           -            604   1.7e-07   28.9   7.1   3   3      0.35   1.4e+02   -0.6   0.3   314   371   763   820   737   844 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71700.1           -            512 3491at5820           -            604   4.2e-07   27.5   9.4   1   1   1.3e-09     5e-07   27.3   7.8    50   219    59   228    50   273 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71668.1           -            441 3491at5820           -            604   2.3e-05   21.8   2.6   1   1   8.1e-08   3.2e-05   21.3   2.6    67   226    76   236    60   276 0.92 RAP protein, putative [Plasmodium vivax]
SCO74089.1           -           1043 3491at5820           -            604   4.2e-05   20.9   3.7   1   3    0.0021      0.83    6.7   0.1   142   216    91   167    78   175 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74089.1           -           1043 3491at5820           -            604   4.2e-05   20.9   3.7   2   3     0.019       7.6    3.6   0.0   186   253   250   316   243   325 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74089.1           -           1043 3491at5820           -            604   4.2e-05   20.9   3.7   3   3   0.00025     0.099    9.8   0.4   159   423   454   509   435   533 0.60 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   1   4   4.5e-07   0.00018   18.9   0.9   142   216   198   273   188   279 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   2   4     0.014       5.6    4.0   1.0   354   394   275   316   271   330 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   3   4    0.0011      0.43    7.7   2.3    91   184   465   556   459   599 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72903.1           -            735 3491at5820           -            604   0.00011   19.5  19.9   4   4         1   4.1e+02   -2.1   0.0   182   212   676   706   673   710 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71617.1           -            473 3491at5820           -            604   0.00049   17.4   4.3   1   2     0.011       4.2    4.4   1.1    47   110    93   156    87   175 0.61 RAP protein, putative [Plasmodium vivax]
SCO71617.1           -            473 3491at5820           -            604   0.00049   17.4   4.3   2   2   1.6e-05    0.0061   13.8   0.1   109   209   193   297   170   302 0.82 RAP protein, putative [Plasmodium vivax]
SCO73047.1           -            927 3491at5820           -            604   0.00051   17.4  33.8   1   4    0.0039       1.5    5.9   5.9   148   250   149   250    17   277 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73047.1           -            927 3491at5820           -            604   0.00051   17.4  33.8   2   4   6.1e-05     0.024   11.8   0.8   125   177   296   348   292   354 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73047.1           -            927 3491at5820           -            604   0.00051   17.4  33.8   3   4   5.7e-06    0.0022   15.2   6.2   353   461   356   464   349   516 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73047.1           -            927 3491at5820           -            604   0.00051   17.4  33.8   4   4       0.7   2.8e+02   -1.6   0.4   267   296   889   919   837   926 0.63 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3491at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:08 2026
# [ok]
