#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72249.1           -            381 10889at5820          -            305  9.9e-129  427.6  67.9   1   2   9.2e-50   2.1e-47  160.5  37.2     1   154     5   161     5   171 0.65 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74651.1           -            352 10889at5820          -            305   0.00035   18.6  20.7   2   2   1.5e-06   0.00035   18.6  20.7    85   205   140   261   123   274 0.44 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71992.1           -            409 10889at5820          -            305    0.0011   17.0   1.2   1   1   9.1e-06    0.0021   16.0   1.2   122   193    81   155    60   168 0.51 lipoate-protein ligase 2, putative [Plasmodium vivax]
SCO72539.1           -            630 10889at5820          -            305    0.0021   16.0  43.9   1   3   3.8e-05    0.0088   14.0  15.5    75   174   197   291   176   316 0.46 radial spoke head protein, putative [Plasmodium vivax]
SCO72539.1           -            630 10889at5820          -            305    0.0021   16.0  43.9   2   3   3.7e-05    0.0086   14.0  12.8    71   179   385   494   334   505 0.52 radial spoke head protein, putative [Plasmodium vivax]
SCO72539.1           -            630 10889at5820          -            305    0.0021   16.0  43.9   3   3         3     7e+02   -2.1   0.8    53    86   581   618   570   629 0.53 radial spoke head protein, putative [Plasmodium vivax]
SCO75730.1           -            400 10889at5820          -            305    0.0085   14.1  32.9   1   2     0.011       2.5    5.9   6.6   106   171    73   134     2   161 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75730.1           -            400 10889at5820          -            305    0.0085   14.1  32.9   2   2   3.5e-05    0.0082   14.1  18.3    87   182   241   339   227   371 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75304.1           -            244 10889at5820          -            305     0.019   12.9  16.2   1   1   0.00011     0.025   12.5  16.2    84   171    65   150    13   177 0.55 calmodulin, putative [Plasmodium vivax]
SCO70845.1           -            502 10889at5820          -            305      0.25    9.2   9.4   1   2    0.0011      0.26    9.2   2.2    99   127   129   166   106   242 0.36 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70845.1           -            502 10889at5820          -            305      0.25    9.2   9.4   2   2     0.032       7.5    4.4   0.8   103   153   279   329   246   369 0.50 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75409.1           -            194 10889at5820          -            305      0.38    8.6   9.3   1   1    0.0025      0.58    8.0   9.3    87   165    76   152    58   190 0.39 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71480.1           -            286 10889at5820          -            305      0.52    8.2  17.1   1   1    0.0044         1    7.2  17.1    91   185    52   152    43   197 0.39 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74769.1           -            776 10889at5820          -            305      0.86    7.5  26.4   1   2    0.0036      0.83    7.5  22.4    87   160   191   262   176   307 0.50 large ribosomal subunit associated GTPase, putative [Plasmodium vivax]
SCO74769.1           -            776 10889at5820          -            305      0.86    7.5  26.4   2   2      0.41        96    0.7   0.1   116   182   451   519   437   532 0.49 large ribosomal subunit associated GTPase, putative [Plasmodium vivax]
SCO75633.1           -            312 10889at5820          -            305       2.6    5.9  15.9   1   1     0.021         5    5.0  15.9   104   171    80   147    59   177 0.46 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73762.1           -            659 10889at5820          -            305         3    5.7   9.5   1   1     0.034         8    4.3   9.5    87   155    56   124    43   158 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73556.1           -            513 10889at5820          -            305       3.9    5.3  14.6   1   1     0.035       8.1    4.3  14.6    88   170    12    94     4   116 0.35 ribosome biogenesis protein YTM1, putative [Plasmodium vivax]
SCO75023.1           -            132 10889at5820          -            305         4    5.3  19.6   1   1     0.019       4.5    5.1  19.6    92   163    17    83     2   114 0.38 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74135.1           -            177 10889at5820          -            305       4.2    5.2  13.1   1   1    0.0098       2.3    6.1  11.3   107   197    20   112     2   121 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73241.1           -           1374 10889at5820          -            305       5.3    4.9  63.2   1   5     0.018       4.2    5.2  16.4   205   276   823   897   679   903 0.88 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 10889at5820          -            305       5.3    4.9  63.2   2   5     0.059        14    3.5   2.5   191   232   904   944   897   948 0.57 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 10889at5820          -            305       5.3    4.9  63.2   3   5    0.0016      0.36    8.7   2.3    41    83   949   991   943  1017 0.71 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 10889at5820          -            305       5.3    4.9  63.2   4   5      0.68   1.6e+02    0.0   1.3   140   208  1171  1241  1146  1258 0.56 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 10889at5820          -            305       5.3    4.9  63.2   5   5   0.00068      0.16    9.9   9.1    34    80  1261  1307  1255  1342 0.90 MORN repeat protein, putative [Plasmodium vivax]
SCO70786.1           -            832 10889at5820          -            305       5.6    4.8  23.7   1   1     0.093        22    2.9  23.7    98   134   360   396   337   410 0.36 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74888.1           -            228 10889at5820          -            305       6.4    4.6  21.9   1   1     0.037       8.6    4.2  21.9    85   170    68   150    40   170 0.47 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72267.1           -            254 10889at5820          -            305       6.6    4.6  27.0   1   1     0.044        10    3.9  27.0    87   164    58   133    20   158 0.41 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72508.1           -            345 10889at5820          -            305       7.6    4.4  18.8   1   2   0.00077      0.18    9.7  12.4    70   121   113   164   106   195 0.66 hypothetical protein, conserved [Plasmodium vivax]
SCO72508.1           -            345 10889at5820          -            305       7.6    4.4  18.8   2   2       9.1   2.1e+03   -3.7   0.4   156   166   312   322   304   333 0.47 hypothetical protein, conserved [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10889at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10889at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10889at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:59 2026
# [ok]
