#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0112800.1-p1   -           1403 3833at5820           -            544  8.3e-185  614.0  92.7   1   9   2.6e-27   5.6e-24   83.2   0.0     1    58    47   104    47   116 0.94 | transcript=PVP01_0112800.1 | gene=PVP01_0112800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:579367-584255(+) | protein_length=1403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426900.1-p1   -            699 3833at5820           -            544   2.3e-06   25.1   0.3   3   5         3   6.5e+03  -11.2  13.1   458   508   308   357   260   377 0.44 | transcript=PVP01_1426900.1 | gene=PVP01_1426900 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:1146093-1149554(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426900.1-p1   -            699 3833at5820           -            544   2.3e-06   25.1   0.3   4   5         3   6.5e+03  -11.4  19.3   429   527   433   517   413   535 0.52 | transcript=PVP01_1426900.1 | gene=PVP01_1426900 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:1146093-1149554(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426900.1-p1   -            699 3833at5820           -            544   2.3e-06   25.1   0.3   5   5         3   6.5e+03   -9.6  18.8   361   443   580   662   545   695 0.43 | transcript=PVP01_1426900.1 | gene=PVP01_1426900 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:1146093-1149554(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0903200.1-p1   -            267 3833at5820           -            544       5.6    4.0  15.1   1   2   0.00026      0.58    7.2   3.5    59   109    39    89    26   102 0.87 | transcript=PVP01_0903200.1 | gene=PVP01_0903200 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:213476-214412(+) | protein_length=267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0903200.1-p1   -            267 3833at5820           -            544       5.6    4.0  15.1   2   2    0.0074        16    2.5   3.8   455   519   190   250   179   264 0.78 | transcript=PVP01_0903200.1 | gene=PVP01_0903200 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:213476-214412(+) | protein_length=267 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:57 2026
# [ok]
