#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0924200.1-p1   -            730 4434at5820           -            535  2.9e-289  958.5  23.8   1   3   1.9e-30     2e-27   94.4   0.8     1    61     1    61     1    73 0.91 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4434at5820           -            535      0.84    6.6  21.7   1   4      0.32   3.4e+02   -2.1   3.4   221   301   429   510   417   565 0.68 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4434at5820           -            535      0.84    6.6  21.7   2   4    0.0033       3.6    4.5   1.4   239   307   643   709   617   751 0.80 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4434at5820           -            535      0.84    6.6  21.7   3   4     0.057        62    0.4   0.0   435   467   929   962   881   965 0.82 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4434at5820           -            535      0.84    6.6  21.7   4   4   6.3e-06    0.0069   13.4   0.6   470   528  1036  1095  1030  1102 0.86 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4434at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4434at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4434at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:34 2026
# [ok]
