#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1221800.1-p1   -           1206 1152at5820           -            961         0 1851.2  55.6   1   3  1.2e-143  1.3e-140  468.9   9.2     1   214    68   283    68   286 0.99 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 1152at5820           -            961     1e-14   52.2  10.3   1   2    0.0001      0.11    9.1   0.5     5    95   185   281   179   294 0.69 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 1152at5820           -            961     1e-14   52.2  10.3   2   2   4.6e-16     5e-13   46.6   3.8   536   762   464   704   437   762 0.78 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1152at5820           -            961     8e-08   29.4  13.4   1   3   3.4e-06    0.0037   14.0   6.3    34   190   151   291   144   300 0.84 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1152at5820           -            961     8e-08   29.4  13.4   2   3    0.0014       1.5    5.3   0.0   438   456   602   620   589   624 0.88 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1152at5820           -            961     8e-08   29.4  13.4   3   3     2e-05     0.022   11.4   0.1   582   633   917   967   909   979 0.80 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 1152at5820           -            961   7.2e-07   26.2   9.4   1   3    0.0058       6.3    3.3   3.5    44   114   171   249   157   332 0.68 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 1152at5820           -            961   7.2e-07   26.2   9.4   2   3    0.0027         3    4.3   0.0   422   455   345   379   322   411 0.79 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 1152at5820           -            961   7.2e-07   26.2   9.4   3   3   1.1e-07   0.00012   18.9   0.1   548   618   511   577   482   599 0.75 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1152at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1152at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1152at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:25 2026
# [ok]
