#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0117900.1-p1   -           1069 1849at5820           -            886         0 1638.6  51.1   1   5    9e-143  4.9e-140  466.8   2.7     1   235     1   240     1   246 0.97 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 1849at5820           -            886   1.5e-08   31.8   0.5   1   2     0.015       7.9    2.9   0.0   154   189    63    98    19   105 0.65 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 1849at5820           -            886   1.5e-08   31.8   0.5   2   2   7.3e-10     4e-07   27.1   0.1   344   483   106   250    99   285 0.81 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1849at5820           -            886   3.3e-08   30.7   0.3   1   2      0.12        63   -0.1   0.0   435   508    15    82     6    95 0.73 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 1849at5820           -            886   3.3e-08   30.7   0.3   2   2   2.7e-10   1.5e-07   28.5   0.1   254   416   154   316   111   322 0.82 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 1849at5820           -            886   3.4e-08   30.6   4.1   1   2     0.044        24    1.3   0.2   449   504    85   136    66   146 0.72 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 1849at5820           -            886   3.4e-08   30.6   4.1   2   2   7.9e-11   4.3e-08   30.3   0.6   356   459   305   407   227   414 0.84 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1849at5820           -            886   6.7e-08   29.6  13.1   1   4    0.0015      0.83    6.2   0.1   452   483    71   102    61   107 0.91 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1849at5820           -            886   6.7e-08   29.6  13.1   2   4   2.2e-06    0.0012   15.6   0.0   361   423   108   172   103   180 0.86 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1849at5820           -            886   6.7e-08   29.6  13.1   3   4   3.2e-05     0.018   11.7   0.1   360   455   263   360   224   387 0.59 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142200.1-p1   -           1399 1849at5820           -            886   6.7e-08   29.6  13.1   4   4      0.65   3.5e+02   -2.5   4.8    64   249   524   723   514   732 0.61 | transcript=PVP01_1142200.1 | gene=PVP01_1142200 | organism=Plasmodium_vivax_P01 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=PvP01_11_v2:1787120-1791935(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 1849at5820           -            886     8e-05   19.4   1.6   1   4      0.13        70   -0.2   0.0   768   810   135   178   103   182 0.80 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 1849at5820           -            886     8e-05   19.4   1.6   2   4     0.021        11    2.4   0.0   533   568   183   221   181   227 0.72 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 1849at5820           -            886     8e-05   19.4   1.6   3   4   9.5e-06    0.0052   13.5   0.1   361   418   304   362   292   370 0.88 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 1849at5820           -            886     8e-05   19.4   1.6   4   4      0.46   2.5e+02   -2.0   0.0   362   378   441   457   427   459 0.86 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1849at5820           -            886    0.0079   12.8   0.0   1   2      0.59   3.2e+02   -2.4   0.0   295   330   368   402   353   410 0.74 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 1849at5820           -            886    0.0079   12.8   0.0   2   2   3.3e-05     0.018   11.7   0.0   363   515   414   565   406   587 0.78 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1849at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1849at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1849at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:02 2026
# [ok]
