#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1240700.1-p1   -            878 2237at5820           -            757         0 1680.2   7.4   1   2    2e-211  7.3e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926500.1-p1   -            566 2237at5820           -            757   9.9e-26   88.5   1.1   1   2   1.8e-11   6.5e-09   32.9   0.1   124   256   156   286   146   293 0.88 | transcript=PVP01_0926500.1 | gene=PVP01_0926500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1168688-1170978(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926500.1-p1   -            566 2237at5820           -            757   9.9e-26   88.5   1.1   2   2   5.7e-18   2.1e-15   54.4   0.1    10   156   301   456   295   475 0.78 | transcript=PVP01_0926500.1 | gene=PVP01_0926500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1168688-1170978(-) | protein_length=566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 2237at5820           -            757   1.3e-15   55.1   0.5   1   3   3.8e-12   1.4e-09   35.2   0.0    14   197    77   260    71   263 0.82 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 2237at5820           -            757   1.3e-15   55.1   0.5   2   3     0.018       6.6    3.1   0.0     8    69   228   284   220   314 0.62 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 2237at5820           -            757   1.3e-15   55.1   0.5   3   3   1.5e-06   0.00055   16.6   0.0    14   110   343   433   326   467 0.75 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309900.1-p1   -           1407 2237at5820           -            757   7.2e-15   52.6   1.6   1   2     0.001      0.38    7.2   0.0    49   109   240   307   229   324 0.75 | transcript=PVP01_1309900.1 | gene=PVP01_1309900 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein, putative | transcript_product=kelch protein, putative | location=PvP01_13_v2:454192-458415(-) | protein_length=1407 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309900.1-p1   -           1407 2237at5820           -            757   7.2e-15   52.6   1.6   2   2   2.7e-14   9.9e-12   42.2   1.4   107   297   611   832   602   853 0.72 | transcript=PVP01_1309900.1 | gene=PVP01_1309900 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein, putative | transcript_product=kelch protein, putative | location=PvP01_13_v2:454192-458415(-) | protein_length=1407 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 2237at5820           -            757   1.5e-14   51.6   0.2   1   2   1.1e-15   3.9e-13   46.9   0.2     6   250    70   325    67   353 0.68 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926400.1-p1   -            563 2237at5820           -            757   1.5e-14   51.6   0.2   2   2   7.8e-05     0.028   11.0   0.0    10    75   297   362   294   387 0.75 | transcript=PVP01_0926400.1 | gene=PVP01_0926400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1164896-1167411(-) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 2237at5820           -            757   2.7e-10   37.5   1.0   1   3   3.2e-05     0.012   12.3   0.1   125   250   150   278   142   283 0.42 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 2237at5820           -            757   2.7e-10   37.5   1.0   2   3   1.2e-05    0.0045   13.6   0.0    23   132   206   315   191   324 0.75 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 2237at5820           -            757   2.7e-10   37.5   1.0   3   3   9.9e-08   3.6e-05   20.5   0.1    34   147   331   449   319   463 0.77 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 2237at5820           -            757   3.8e-10   37.0   0.0   1   1   6.8e-12   2.5e-09   34.3   0.0    16   157    83   233    77   248 0.78 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304500.1-p1   -            930 2237at5820           -            757   6.5e-06   23.0   3.4   1   3     0.057        21    1.5   0.0    38    65   461   490   442   499 0.77 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304500.1-p1   -            930 2237at5820           -            757   6.5e-06   23.0   3.4   2   3     0.032        12    2.3   0.1    18    60   772   818   761   824 0.62 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1304500.1-p1   -            930 2237at5820           -            757   6.5e-06   23.0   3.4   3   3   5.4e-07    0.0002   18.1   0.1   222   292   823   901   819   915 0.72 | transcript=PVP01_1304500.1 | gene=PVP01_1304500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_13_v2:181447-184239(-) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 2237at5820           -            757   2.6e-05   21.0   0.0   1   2   0.00059      0.21    8.0   0.0   114   165  1424  1473  1320  1479 0.81 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 2237at5820           -            757   2.6e-05   21.0   0.0   2   2   9.9e-05     0.036   10.6   0.0    14    66  1481  1532  1476  1536 0.91 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 2237at5820           -            757     0.046   10.2   0.1   1   3      0.41   1.5e+02   -1.4   0.0     7    61   530   582   495   596 0.55 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 2237at5820           -            757     0.046   10.2   0.1   2   3   0.00097      0.35    7.3   0.1   115   160   771   817   754   853 0.67 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603800.1-p1   -           1606 2237at5820           -            757     0.046   10.2   0.1   3   3       0.9   3.3e+02   -2.5   0.0   648   676  1059  1089  1056  1111 0.72 | transcript=PVP01_0603800.1 | gene=PVP01_0603800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA wybutosine-synthesizing protein, putative | transcript_product=tRNA wybutosine-synthesizing protein, putative | location=PvP01_06_v2:141806-146626(-) | protein_length=1606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2237at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:52 2026
# [ok]
