#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1318000.1-p1   -            950 7873at5820           -            702  2.4e-255  847.7   0.0   1   1  7.4e-256    3e-253  840.7   0.0     2   690    11   923    10   945 0.75 | transcript=PVP01_1318000.1 | gene=PVP01_1318000 | organism=Plasmodium_vivax_P01 | gene_product=surface-related antigen SRA, putative | transcript_product=surface-related antigen SRA, putative | location=PvP01_13_v2:838243-841420(+) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 7873at5820           -            702    0.0051   13.6  52.1   2   2   0.00058      0.24    8.1  21.5   455   547   384   478   377   499 0.46 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144600.1-p1   -            709 7873at5820           -            702    0.0062   13.3   0.6   1   1   2.6e-05      0.01   12.6   0.6   157   217   291   349   282   415 0.54 | transcript=PVP01_1144600.1 | gene=PVP01_1144600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1893939-1896068(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0532200.1-p1   -            289 7873at5820           -            702      0.23    8.2  16.7   1   1   0.00083      0.34    7.6  16.7   170   256    53   157    28   181 0.53 | transcript=PVP01_0532200.1 | gene=PVP01_0532200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1356103-1357108(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722100.1-p1   -            409 7873at5820           -            702      0.27    7.9   8.3   1   1   0.00096      0.39    7.4   8.3   165   198    82   115    59   139 0.55 | transcript=PVP01_0722100.1 | gene=PVP01_0722100 | organism=Plasmodium_vivax_P01 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=PvP01_07_v2:957346-958575(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0106500.1-p1   -            162 7873at5820           -            702       0.5    7.0  11.9   1   1    0.0015      0.62    6.7  11.9   498   573     6    82     1    88 0.61 | transcript=PVP01_0106500.1 | gene=PVP01_0106500 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 11, putative | transcript_product=apicomplexan kinetochore protein 11, putative | location=PvP01_01_v2:338072-338769(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 7873at5820           -            702      0.89    6.2  57.7   1   3      0.25     1e+02   -0.6   0.3   245   263    60    79     9   115 0.59 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 7873at5820           -            702      0.89    6.2  57.7   2   3   0.00086      0.35    7.5  36.2   141   240   251   357   238   382 0.37 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 7873at5820           -            702      0.89    6.2  57.7   3   3   0.00052      0.21    8.3   7.7   165   204   444   483   429   616 0.73 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 7873at5820           -            702       1.1    5.9  12.4   1   1    0.0054       2.2    4.9  12.4   147   220    31   105    18   143 0.58 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305800.1-p1   -            847 7873at5820           -            702       1.9    5.1  31.9   1   1     0.013       5.4    3.6  31.9   160   217   330   410   294   420 0.49 | transcript=PVP01_0305800.1 | gene=PVP01_0305800 | organism=Plasmodium_vivax_P01 | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=PvP01_03_v2:300645-303365(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410800.1-p1   -           1432 7873at5820           -            702       4.3    3.9  17.2   1   1     0.021       8.4    3.0  17.2   436   545   629   731   611   753 0.50 | transcript=PVP01_0410800.1 | gene=PVP01_0410800 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=PvP01_04_v2:441819-446681(+) | protein_length=1432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919900.1-p1   -            316 7873at5820           -            702       9.7    2.8  25.8   1   1     0.037        15    2.2  25.8   455   555   188   289   180   309 0.58 | transcript=PVP01_0919900.1 | gene=PVP01_0919900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=PvP01_09_v2:864272-865222(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116600.1-p1   -           1668 7873at5820           -            702       9.8    2.8  29.4   1   2     0.024       9.8    2.8   9.4   106   206   959  1060   942  1121 0.44 | transcript=PVP01_0116600.1 | gene=PVP01_0116600 | organism=Plasmodium_vivax_P01 | gene_product=GRAM domain-containing protein, putative | transcript_product=GRAM domain-containing protein, putative | location=PvP01_01_v2:748606-756925(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116600.1-p1   -           1668 7873at5820           -            702       9.8    2.8  29.4   2   2    0.0042       1.7    5.3  12.1   178   223  1220  1264  1202  1306 0.41 | transcript=PVP01_0116600.1 | gene=PVP01_0116600 | organism=Plasmodium_vivax_P01 | gene_product=GRAM domain-containing protein, putative | transcript_product=GRAM domain-containing protein, putative | location=PvP01_01_v2:748606-756925(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7873at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:13 2026
# [ok]
