#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1133200.1-p1   -           1385 2198at5820           -            663    4e-239  794.0  75.2   1  10   8.9e-10   1.9e-06   25.1   0.1     2    33   186   217   185   225 0.90 | transcript=PVP01_1133200.1 | gene=PVP01_1133200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase, putative | transcript_product=protein phosphatase, putative | location=PvP01_11_v2:1416478-1420635(+) | protein_length=1385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 2198at5820           -            663   2.9e-07   27.8   2.4   2   2    0.0017       3.8    4.3   0.3   575   628   773   826   716   834 0.85 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 2198at5820           -            663      0.14    9.1  12.6   1   3     8e-06     0.017   12.0   4.0   247   353    42   155    13   164 0.80 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 2198at5820           -            663      0.14    9.1  12.6   2   3      0.19   4.2e+02   -2.5   0.0   449   476   187   214   160   224 0.74 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429800.1-p1   -            303 2198at5820           -            663      0.14    9.1  12.6   3   3     0.023        51    0.6   0.6   576   631   229   290   225   303 0.63 | transcript=PVP01_1429800.1 | gene=PVP01_1429800 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=PvP01_14_v2:1284812-1287310(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2198at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2198at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2198at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:28 2026
# [ok]
