#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1310200.1-p1   -           1681 1387at5820           -           1102         0 2115.6 115.6   1   5         0         0 1333.3  33.3     1   637    12   685    12   710 0.95 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1387at5820           -           1102   1.2e-36  124.4  41.6   4   4       1.1   7.5e+02   -4.0   0.1   814   843   985  1014   981  1066 0.74 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1387at5820           -           1102   1.8e-31  107.2  25.6   1   4   3.4e-11   2.2e-08   30.8   0.3    84   140   154   210   102   214 0.90 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1387at5820           -           1102   1.8e-31  107.2  25.6   2   4   1.4e-17   9.3e-15   51.9   3.2   138   332   249   428   240   444 0.81 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1387at5820           -           1102   1.8e-31  107.2  25.6   3   4   2.7e-14   1.8e-11   41.1   0.1   354   412   511   569   509   623 0.86 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1387at5820           -           1102   1.8e-31  107.2  25.6   4   4       4.9   3.2e+03   -6.1   4.1   961  1011  1411  1464  1372  1471 0.63 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1387at5820           -           1102   8.6e-27   91.8  14.3   1   6   3.9e-23   2.5e-20   70.4   4.9    68   271   196   411   179   460 0.79 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1387at5820           -           1102   8.6e-27   91.8  14.3   2   6   2.8e-13   1.8e-10   37.7   1.9   286   439   504   636   495   680 0.79 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1387at5820           -           1102   8.6e-27   91.8  14.3   3   6       2.4   1.6e+03   -5.1   5.2   976  1043  1004  1071   988  1084 0.52 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1387at5820           -           1102   8.6e-27   91.8  14.3   4   6        10   6.5e+03  -13.7  29.3   584   719  1399  1537  1367  1575 0.62 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1387at5820           -           1102   8.6e-27   91.8  14.3   5   6        10   6.5e+03   -7.7   4.6   643   667  1713  1737  1693  1767 0.49 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1387at5820           -           1102   8.6e-27   91.8  14.3   6   6       2.5   1.6e+03   -5.1   5.1  1027  1081  1859  1916  1844  1937 0.67 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 1387at5820           -           1102   5.7e-23   79.1  13.3   1   3   8.7e-26   5.7e-23   79.1  13.3    84   416    51   383    14   393 0.76 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 1387at5820           -           1102   5.7e-23   79.1  13.3   2   3         3   1.9e+03   -5.4   7.2   971  1035   460   524   402   535 0.62 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 1387at5820           -           1102   5.7e-23   79.1  13.3   3   3      0.24   1.6e+02   -1.8   0.4    20   130   683   798   673   800 0.53 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 1387at5820           -           1102   5.2e-19   66.0   6.7   1   3     8e-22   5.2e-19   66.0   6.7    76   411    80   377    17   386 0.79 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 1387at5820           -           1102   5.2e-19   66.0   6.7   2   3      0.15        96   -1.1   0.2   862   916   470   523   422   531 0.69 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 1387at5820           -           1102   5.2e-19   66.0   6.7   3   3       3.1     2e+03   -5.5   3.6  1015  1015   962   962   902  1089 0.59 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 1387at5820           -           1102   1.3e-12   44.8   6.6   1   2   0.00085      0.56    6.3   0.1    80   140   300   355   228   365 0.74 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 1387at5820           -           1102   1.3e-12   44.8   6.6   2   2     4e-13   2.6e-10   37.2   3.2   170   428   629   867   619   885 0.78 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113900.1-p1   -            794 1387at5820           -           1102   1.9e-10   37.7  10.6   1   2   6.2e-10     4e-07   26.6   0.3    88   152   109   174    95   180 0.87 | transcript=PVP01_0113900.1 | gene=PVP01_0113900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=PvP01_01_v2:621780-625007(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113900.1-p1   -            794 1387at5820           -           1102   1.9e-10   37.7  10.6   2   2   1.6e-05      0.01   12.1   4.9   233   408   239   399   229   413 0.69 | transcript=PVP01_0113900.1 | gene=PVP01_0113900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=PvP01_01_v2:621780-625007(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1387at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:40 2026
# [ok]
