#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1263800.1-p1   -            596 6335at5820           -            474  5.9e-258  854.7  59.2   1   2  6.2e-200  4.1e-197  654.1  49.2     1   364     1   395     1   413 0.96 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441100.1-p1   -            446 6335at5820           -            474   3.2e-08   31.2   6.2   1   2   4.9e-11   3.2e-08   31.2   6.2    17   146    75   202    57   207 0.87 | transcript=PVP01_1441100.1 | gene=PVP01_1441100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:1783880-1785473(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441100.1-p1   -            446 6335at5820           -            474   3.2e-08   31.2   6.2   2   2       1.5   9.6e+02   -3.3   0.1   290   310   345   365   332   398 0.64 | transcript=PVP01_1441100.1 | gene=PVP01_1441100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:1783880-1785473(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 6335at5820           -            474   4.1e-08   30.9  38.4   1   2   2.6e-08   1.7e-05   22.2  15.6   195   364   121   289    96   301 0.83 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 6335at5820           -            474   4.1e-08   30.9  38.4   2   2   9.9e-06    0.0065   13.7  14.7   198   336   318   460   300   492 0.74 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 6335at5820           -            474   5.1e-05   20.6   3.9   1   3   3.8e-06    0.0025   15.1   0.2   289   358    63   133    32   212 0.79 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 6335at5820           -            474   5.1e-05   20.6   3.9   2   3      0.19   1.2e+02   -0.4   0.0   288   353   418   483   393   488 0.81 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 6335at5820           -            474   5.1e-05   20.6   3.9   3   3    0.0043       2.8    5.0   0.1   287   377   524   616   520   646 0.75 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 6335at5820           -            474   0.00017   18.9  23.8   1   4      0.18   1.2e+02   -0.3   0.4   299   351   112   164    76   179 0.81 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 6335at5820           -            474   0.00017   18.9  23.8   2   4       0.1        67    0.5   0.1    99   161   253   315   225   324 0.71 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 6335at5820           -            474   0.00017   18.9  23.8   3   4   6.2e-07   0.00041   17.7   2.3   231   329   409   506   406   549 0.83 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 6335at5820           -            474   0.00017   18.9  23.8   4   4   7.2e-05     0.047   10.9   4.5   144   339   600   786   598   799 0.81 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6335at5820           -            474      0.87    6.7  28.0   1   5       2.5   1.6e+03   -4.1   0.0   291   327    89   125    84   133 0.81 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6335at5820           -            474      0.87    6.7  28.0   2   5    0.0065       4.2    4.4   0.2   195   224   198   227   182   236 0.83 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6335at5820           -            474      0.87    6.7  28.0   3   5      0.01       6.5    3.8   5.8    71   319   352   444   338   488 0.53 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6335at5820           -            474      0.87    6.7  28.0   4   5     0.011       7.2    3.7   1.9   198   268   559   600   552   656 0.51 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 6335at5820           -            474      0.87    6.7  28.0   5   5   0.00039      0.25    8.5   0.1   299   347   743   791   736   799 0.90 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6335at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6335at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6335at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:59 2026
# [ok]
