#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0709800.1-p1   -           3264 150at5820            -           2276         0 3448.5 300.4   1   7  5.8e-144  1.3e-140  469.1  62.5    13   536   125   878   122   880 0.77 | transcript=PVP01_0709800.1 | gene=PVP01_0709800 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=PvP01_07_v2:495347-505297(+) | protein_length=3264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   1   9   2.7e-24   5.9e-21   72.1  30.5   595   948   607   973   568   983 0.75 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   2   9   5.2e-06     0.011   11.5   6.5  1195  1256   984  1044   977  1060 0.48 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   3   9   4.7e-14     1e-10   38.2  17.8  1032  1171  1067  1200  1057  1207 0.85 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   4   9     6e-17   1.3e-13   47.8  17.2  1156  1279  1574  1695  1544  1706 0.82 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   5   9   0.00021      0.46    6.2   0.9  1172  1223  1835  1892  1828  1901 0.51 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   6   9   7.9e-15   1.7e-11   40.7   7.4  1390  1489  1921  2025  1916  2032 0.87 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   7   9   1.4e-13   3.1e-10   36.6  22.9  1504  1689  2141  2332  2129  2354 0.91 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   8   9   2.5e-09   5.4e-06   22.5  35.9  1718  1948  2491  2726  2471  2750 0.83 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307300.1-p1   -           3294 150at5820            -           2276   2.9e-63  212.5 220.0   9   9         3   6.5e+03  -14.7  18.6  2127  2259  3093  3226  2998  3244 0.71 | transcript=PVP01_1307300.1 | gene=PVP01_1307300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=PvP01_13_v2:332331-342481(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/150at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/150at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/150at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:06 2026
# [ok]
