#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1205500.1-p1   -           1714 1427at5820           -            861         0 1620.9  73.4   1   7   2.9e-35   4.9e-33  112.8   9.8     1    81     9    92     9   107 0.94 | transcript=PVP01_1205500.1 | gene=PVP01_1205500 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_12_v2:211272-216416(-) | protein_length=1714 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521800.1-p1   -           1610 1427at5820           -            861   5.1e-10   36.6   0.0   1   1   5.2e-12   8.7e-10   35.8   0.0   683   783   899  1000   884  1019 0.85 | transcript=PVP01_0521800.1 | gene=PVP01_0521800 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related kinase 3, putative, cdc2-related protein kinase 3, putative | transcript_product=cdc2-related protein kinase 3, putative | location=PvP01_05_v2:884331-889289(+) | protein_length=1610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814500.1-p1   -            325 1427at5820           -            861   5.8e-10   36.4   3.0   1   1   7.8e-12   1.3e-09   35.2   3.0   678   793   104   233     4   240 0.78 | transcript=PVP01_0814500.1 | gene=PVP01_0814500 | organism=Plasmodium_vivax_P01 | gene_product=MO15-related protein kinase, putative | transcript_product=MO15-related protein kinase, putative | location=PvP01_08_v2:635589-636566(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 1427at5820           -            861   3.6e-09   33.8   0.1   1   1   3.7e-11   6.2e-09   33.0   0.0   699   830   146   271    76   277 0.84 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 1427at5820           -            861   1.7e-08   31.5   0.0   1   2      0.47        78   -0.4   0.0   532   556     7    32     4    91 0.76 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 1427at5820           -            861   1.7e-08   31.5   0.0   2   2   4.3e-10   7.2e-08   29.5   0.0   692   798   107   213    97   223 0.88 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 1427at5820           -            861   3.4e-08   30.6   0.1   1   2      0.76   1.3e+02   -1.1   0.2   531   570    11    48     5   127 0.65 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 1427at5820           -            861   3.4e-08   30.6   0.1   2   2   6.5e-10   1.1e-07   28.9   0.0   698   783   132   213   106   224 0.84 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 1427at5820           -            861   3.8e-08   30.4   0.6   1   2       0.9   1.5e+02   -1.3   0.0   513   563    97   149    91   163 0.79 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 1427at5820           -            861   3.8e-08   30.4   0.6   2   2     4e-10   6.7e-08   29.6   0.3   624   797   149   327   138   335 0.77 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 1427at5820           -            861   7.8e-08   29.4   0.9   1   2      0.23        38    0.6   0.1   529   561    43    75    27    81 0.78 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909200.1-p1   -            335 1427at5820           -            861   7.8e-08   29.4   0.9   2   2   1.8e-09     3e-07   27.4   0.2   622   783    76   233    70   253 0.77 | transcript=PVP01_0909200.1 | gene=PVP01_0909200 | organism=Plasmodium_vivax_P01 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=PvP01_09_v2:493076-494083(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 1427at5820           -            861   3.3e-07   27.3   0.1   1   1     3e-09     5e-07   26.7   0.1   656   816  1407  1572  1376  1581 0.77 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 1427at5820           -            861   6.3e-07   26.4  15.7   1   5     0.031       5.3    3.5   3.5   166   212    41    88     6    91 0.77 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 1427at5820           -            861   6.3e-07   26.4  15.7   2   5     0.049       8.2    2.8   0.4   170   212    92   135    89   155 0.79 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 1427at5820           -            861   6.3e-07   26.4  15.7   3   5   0.00026     0.043   10.4   0.2   435   492   536   593   524   660 0.88 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 1427at5820           -            861   6.3e-07   26.4  15.7   4   5    0.0023      0.38    7.2   0.0   679   721   898   940   893   959 0.90 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
