#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1323000.1-p1   -            610 4638at5820           -            522         0 1036.3  39.4   1   2  3.5e-172  2.5e-169  562.6  26.4     1   307     1   324     1   335 0.93 | transcript=PVP01_1323000.1 | gene=PVP01_1323000 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_13_v2:1038070-1039902(+) | protein_length=610 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4638at5820           -            522   0.00053   17.1   6.0   4   4    0.0082         6    3.7   0.6   212   286   574   650   549   658 0.80 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4638at5820           -            522   0.00091   16.3   0.1   1   1   2.2e-06    0.0016   15.5   0.1   212   287   331   407   323   421 0.81 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4638at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4638at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4638at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:31 2026
# [ok]
