#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0917300.1-p1   -            690 3676at5820           -            548         0 1044.1  33.6   1   3  7.1e-110  2.6e-107  358.2   5.2     9   196    22   212     8   232 0.91 | transcript=PVP01_0917300.1 | gene=PVP01_0917300 | organism=Plasmodium_vivax_P01 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=PvP01_09_v2:769482-771554(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417300.1-p1   -           1133 3676at5820           -            548     2e-10   38.4   0.2   1   1   8.9e-13   3.2e-10   37.7   0.2   463   518   742   799   565   820 0.88 | transcript=PVP01_0417300.1 | gene=PVP01_0417300 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:711606-715603(+) | protein_length=1133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 3676at5820           -            548   5.7e-09   33.6  10.3   1   2   7.7e-06    0.0028   14.8   2.6   291   386   278   365    97   374 0.87 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916200.1-p1   -            487 3676at5820           -            548   5.7e-09   33.6  10.3   2   2   2.9e-08     1e-05   22.8   0.7   471   517   416   468   407   473 0.78 | transcript=PVP01_0916200.1 | gene=PVP01_0916200 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:730476-731939(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416800.1-p1   -           1014 3676at5820           -            548   3.2e-08   31.1   0.6   1   1   1.6e-10   5.7e-08   30.3   0.6   464   513   692   742   687   762 0.88 | transcript=PVP01_0416800.1 | gene=PVP01_0416800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=PvP01_04_v2:685685-689183(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 3676at5820           -            548   6.3e-08   30.1   3.1   1   2      0.49   1.8e+02   -1.0   0.1   275   308   554   591   494   599 0.74 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417800.1-p1   -           1017 3676at5820           -            548   6.3e-08   30.1   3.1   2   2   1.7e-10   6.3e-08   30.1   3.1   464   513   738   788   732   810 0.80 | transcript=PVP01_0417800.1 | gene=PVP01_0417800 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:735198-738811(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0416900.1-p1   -           1149 3676at5820           -            548   6.4e-08   30.1   5.2   1   1   7.6e-10   2.8e-07   28.0   5.2   462   513   751   803   523   823 0.71 | transcript=PVP01_0416900.1 | gene=PVP01_0416900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=PvP01_04_v2:690308-694235(+) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417100.1-p1   -           1067 3676at5820           -            548     1e-07   29.5   0.1   1   1   4.6e-10   1.7e-07   28.7   0.1   464   513   714   764   612   784 0.89 | transcript=PVP01_0417100.1 | gene=PVP01_0417100 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=PvP01_04_v2:701056-704768(+) | protein_length=1067 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417200.1-p1   -           1059 3676at5820           -            548   2.1e-07   28.4   0.5   1   1   1.2e-09   4.3e-07   27.4   0.5   464   513   702   752   683   768 0.88 | transcript=PVP01_0417200.1 | gene=PVP01_0417200 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:705835-709431(+) | protein_length=1059 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 3676at5820           -            548   2.2e-07   28.4   3.7   1   2      0.39   1.4e+02   -0.7   0.3   347   384   580   621   511   657 0.54 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417900.1-p1   -           1061 3676at5820           -            548   2.2e-07   28.4   3.7   2   2     6e-10   2.2e-07   28.4   3.7   463   513   696   747   669   767 0.88 | transcript=PVP01_0417900.1 | gene=PVP01_0417900 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:740115-743913(+) | protein_length=1061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417600.1-p1   -            995 3676at5820           -            548   3.5e-07   27.7   0.2   1   1   1.8e-09   6.6e-07   26.8   0.2   464   513   677   727   648   743 0.88 | transcript=PVP01_0417600.1 | gene=PVP01_0417600 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=PvP01_04_v2:724965-728614(+) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 3676at5820           -            548   1.8e-06   25.4   0.2   1   2       2.3   8.3e+02   -3.2   1.5   224   335   354   466   318   477 0.68 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417000.1-p1   -           1105 3676at5820           -            548   1.8e-06   25.4   0.2   2   2   4.9e-09   1.8e-06   25.4   0.2   463   513   746   797   720   817 0.87 | transcript=PVP01_0417000.1 | gene=PVP01_0417000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=PvP01_04_v2:696338-700113(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 3676at5820           -            548   2.2e-06   25.0   1.5   1   3      0.51   1.8e+02   -1.1   0.2   284   306   254   277   241   303 0.71 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 3676at5820           -            548   2.2e-06   25.0   1.5   2   3      0.85   3.1e+02   -1.8   0.0   414   429   433   448   430   449 0.88 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418000.1-p1   -            706 3676at5820           -            548   2.2e-06   25.0   1.5   3   3   6.1e-09   2.2e-06   25.0   1.5   474   513   449   489   435   495 0.87 | transcript=PVP01_0418000.1 | gene=PVP01_0418000 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:746031-748923(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0417700.1-p1   -           1127 3676at5820           -            548   2.5e-06   24.8   1.3   1   1   1.7e-08   6.3e-06   23.5   1.3   463   513   736   787   622   806 0.90 | transcript=PVP01_0417700.1 | gene=PVP01_0417700 | organism=Plasmodium_vivax_P01 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=PvP01_04_v2:729808-733689(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 3676at5820           -            548   2.3e-05   21.7  23.3   1   3   5.7e-05     0.021   11.9   9.3   292   405   354   464   229   472 0.72 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 3676at5820           -            548   2.3e-05   21.7  23.3   2   3     0.073        26    1.7   0.0   464   485   484   505   480   523 0.86 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1248900.1-p1   -            583 3676at5820           -            548   2.3e-05   21.7  23.3   3   3   4.8e-06    0.0017   15.5   1.0   488   517   537   565   528   580 0.79 | transcript=PVP01_1248900.1 | gene=PVP01_1248900 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-1, cysteine proteinase precursor | transcript_product=vivapain-1 | location=PvP01_12_v2:1981790-1983541(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916000.1-p1   -            484 3676at5820           -            548   8.2e-05   19.9  17.6   1   1   4.8e-05     0.017   12.2  17.6   290   513   275   462   149   467 0.66 | transcript=PVP01_0916000.1 | gene=PVP01_0916000 | organism=Plasmodium_vivax_P01 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=PvP01_09_v2:722356-723810(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3676at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3676at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3676at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:14 2026
# [ok]
