#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1   1  40  1.4e-113  9.2e-110  365.8  33.3     1   249     1   270     1   274 0.93 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  12  40     1e-36   6.7e-33  110.6   5.1  1161  1241  2542  2622  2525  2634 0.85 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  13  40   2.8e-23   1.8e-19   66.0   1.7  1244  1296  2691  2743  2675  2752 0.89 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  14  40  3.7e-120  2.4e-116  387.6  14.6  1295  1548  2772  3033  2769  3049 0.90 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  15  40   5.2e-81   3.4e-77  257.7  15.5  1533  1694  3050  3217  3035  3240 0.94 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  16  40     0.032   2.1e+02   -3.9   2.5  1698  1727  3332  3361  3310  3377 0.70 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  17  40   5.4e-44   3.5e-40  134.8   3.1  1723  1820  3753  3851  3743  3855 0.93 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  18  40   4.3e-58   2.8e-54  181.6   5.5  1810  1934  3875  4005  3871  4023 0.90 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  19  40   2.6e-51   1.7e-47  159.1   4.5  1940  2075  4113  4256  4091  4262 0.90 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  20  40   2.2e-44   1.4e-40  136.1   6.3  2074  2165  4295  4386  4287  4397 0.96 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  21  40     3e-53   1.9e-49  165.5   3.5  2165  2304  4416  4574  4410  4592 0.83 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  22  40   2.4e-39   1.6e-35  119.4   4.1  2285  2442  4640  4835  4623  4847 0.81 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  23  40   7.8e-35   5.1e-31  104.4   4.1  2427  2535  4891  5006  4878  5012 0.88 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  24  40     1e-37   6.7e-34  114.0   8.7  2532  2633  5114  5230  5107  5253 0.89 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  25  40     6e-29   3.9e-25   84.9   0.7  2638  2716  5428  5505  5404  5516 0.82 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  26  40   1.4e-76   9.1e-73  243.0   6.0  2717  2949  5537  5807  5532  5826 0.85 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  27  40  5.5e-100   3.6e-96  320.7  19.0  2940  3138  5922  6131  5907  6137 0.93 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  28  40   6.6e-52   4.3e-48  161.1  16.0  3135  3236  6189  6290  6174  6301 0.93 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  29  40   1.1e-35   7.1e-32  107.2   2.6  3232  3299  6315  6382  6306  6391 0.94 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  30  40   1.6e-62   1.1e-58  196.3  23.3  3296  3435  6478  6640  6474  6653 0.84 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  31  40   1.1e-05     0.071    7.7   0.7  3440  3468  6730  6758  6722  6760 0.84 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  32  40   4.8e-05      0.31    5.5   0.1  3469  3495  6880  6906  6867  6910 0.87 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  33  40    3e-155  1.9e-151  504.1  62.1  3493  3822  6959  7339  6955  7354 0.87 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  34  40     0.012        81   -2.5   5.8  4652  4742  7363  7451  7346  7465 0.74 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  35  40    1e-111  6.5e-108  359.6  19.4  3833  4044  7494  7712  7478  7737 0.85 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  36  40     2e-62   1.3e-58  196.0   3.0  4048  4187  7826  7970  7784  7975 0.83 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  37  40  2.9e-121  1.9e-117  391.3  13.2  4185  4415  8011  8242  8005  8291 0.94 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  38  40  3.1e-127    2e-123  411.1  26.1  4402  4701  8312  8655  8297  8686 0.81 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  39  40     0.024   1.6e+02   -3.5  17.5  4667  4743  8732  8816  8717  8825 0.71 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1404700.1-p1   -           8895 28at5820             -           4775         0 6189.6 677.1  40  40   3.6e-17   2.4e-13   45.8   1.4  4713  4775  8830  8895  8809  8895 0.67 | transcript=PVP01_1404700.1 | gene=PVP01_1404700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:215753-242440(-) | protein_length=8895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/28at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/28at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/28at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:31 2026
# [ok]
