#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0206600.1-p1   -            332 9364at5820           -            241  5.6e-121  401.4  14.7   1   3   2.9e-14   2.1e-11   42.7   0.1     1    32    23    54    23    61 0.93 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 9364at5820           -            241   2.4e-08   32.7  31.0   2   4   1.1e-10   8.1e-08   30.9   4.6    33   150    72   190    60   203 0.87 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 9364at5820           -            241   2.4e-08   32.7  31.0   3   4    0.0001     0.074   11.4   0.3     5    67   219   280   214   302 0.63 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306800.1-p1   -            380 9364at5820           -            241   2.4e-08   32.7  31.0   4   4      0.18   1.3e+02    0.8   4.2    28    71   334   379   321   380 0.82 | transcript=PVP01_0306800.1 | gene=PVP01_0306800 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_03_v2:335592-337103(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 9364at5820           -            241   5.8e-08   31.4  18.5   1   4    0.0001     0.074   11.4   0.5     3    77    92   174    90   179 0.82 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 9364at5820           -            241   5.8e-08   31.4  18.5   2   4    0.0038       2.7    6.3   1.2   163   226   222   286   209   310 0.72 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 9364at5820           -            241   5.8e-08   31.4  18.5   3   4    0.0054       3.9    5.8   0.4   161   197   419   455   401   466 0.69 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 9364at5820           -            241   5.8e-08   31.4  18.5   4   4   5.3e-07   0.00038   18.9   0.3    31    71   466   506   454   513 0.86 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 9364at5820           -            241   7.6e-06   24.5   0.1   1   2   4.5e-06    0.0032   15.9   0.0    91   239    48   209    30   211 0.66 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 9364at5820           -            241   7.6e-06   24.5   0.1   2   2   0.00014       0.1   11.0   0.1    90   217   142   287   127   309 0.63 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9364at5820           -            241   1.3e-05   23.7  11.8   1   6     0.015        11    4.3   0.0   159   188    13    46     4    59 0.68 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9364at5820           -            241   1.3e-05   23.7  11.8   2   6         2   1.4e+03   -2.6   0.0    96   125    93   122    89   149 0.68 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9364at5820           -            241   1.3e-05   23.7  11.8   3   6      0.26   1.8e+02    0.3   0.0   193   219   214   240   204   258 0.68 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9364at5820           -            241   1.3e-05   23.7  11.8   4   6      0.32   2.3e+02   -0.0   0.0    12   187   304   323   289   340 0.57 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9364at5820           -            241   1.3e-05   23.7  11.8   5   6    0.0002      0.14   10.5   3.1   108   207   338   454   317   457 0.69 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103300.1-p1   -            494 9364at5820           -            241   1.3e-05   23.7  11.8   6   6   0.00049      0.36    9.2   0.1    39    73   456   490   450   494 0.87 | transcript=PVP01_1103300.1 | gene=PVP01_1103300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_11_v2:145926-147410(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 9364at5820           -            241   1.9e-05   23.2   6.6   1   2    0.0042         3    6.2   2.2   112   141   124   153     5   162 0.62 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442000.1-p1   -            306 9364at5820           -            241   1.9e-05   23.2   6.6   2   2   2.4e-06    0.0017   16.8   0.1   164   236   225   302   218   306 0.65 | transcript=PVP01_1442000.1 | gene=PVP01_1442000 | organism=Plasmodium_vivax_P01 | gene_product=citrate/oxoglutarate carrier protein, putative | transcript_product=citrate/oxoglutarate carrier protein, putative | location=PvP01_14_v2:1833808-1834728(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9364at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9364at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9364at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:51 2026
# [ok]
