#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1249700.1-p1   -            104 14627at5820          -             88   3.3e-59  195.8   0.8   1   1   7.6e-62   3.8e-59  195.6   0.8     1    88    15   103    15   103 0.98 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 14627at5820          -             88   0.00065   18.5   4.7   1   3      0.15        76    2.3   0.1    13    76    54   120    44   125 0.70 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 14627at5820          -             88   0.00065   18.5   4.7   2   3       1.5   7.4e+02   -0.9   0.0    28    51   307   327   305   343 0.71 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 14627at5820          -             88   0.00065   18.5   4.7   3   3   1.1e-05    0.0053   15.6   0.3     6    33   422   449   418   492 0.86 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806300.1-p1   -            193 14627at5820          -             88    0.0014   17.4   0.1   1   1   5.4e-06    0.0027   16.5   0.1     9    71    96   158    83   175 0.83 | transcript=PVP01_0806300.1 | gene=PVP01_0806300 | organism=Plasmodium_vivax_P01 | gene_product=phosducin-like protein 3, putative | transcript_product=phosducin-like protein 3, putative | location=PvP01_08_v2:276548-277129(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0928200.1-p1   -            424 14627at5820          -             88    0.0086   14.9   0.4   1   1   5.5e-05     0.028   13.3   0.4     3    67    44   115    42   136 0.77 | transcript=PVP01_0928200.1 | gene=PVP01_0928200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1231897-1235400(+) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 14627at5820          -             88      0.45    9.4   6.0   1   4      0.34   1.7e+02    1.1   0.1     8    62    63   118    57   126 0.78 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 14627at5820          -             88      0.45    9.4   6.0   2   4       1.5   7.5e+02   -0.9   0.0    27    48   144   166   139   199 0.65 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 14627at5820          -             88      0.45    9.4   6.0   3   4   0.00094      0.47    9.3   0.1    34    74   202   242   187   247 0.80 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 14627at5820          -             88      0.45    9.4   6.0   4   4       6.2   3.1e+03   -2.9   0.0    33    46   371   384   355   396 0.54 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14627at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14627at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14627at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:59 2026
# [ok]
