#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0939500.1-p1   -            872 4608at5820           -            541         0 1015.2  89.5   1   6  1.6e-135  1.7e-132  441.3  20.5     1   246     1   262     1   286 0.88 | transcript=PVP01_0939500.1 | gene=PVP01_0939500 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=PvP01_09_v2:1702099-1704717(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 4608at5820           -            541   4.4e-13   47.2   8.3   1   3      0.76   8.3e+02   -3.2   0.2   187   245   473   535   465   553 0.59 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 4608at5820           -            541   4.4e-13   47.2   8.3   2   3   1.9e-05     0.021   12.0   0.2    35    99   775   842   744   861 0.72 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 4608at5820           -            541   4.4e-13   47.2   8.3   3   3   1.2e-13   1.3e-10   39.0   0.4   309   464   882  1058   865  1067 0.67 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 4608at5820           -            541   1.1e-06   26.1   1.9   1   3      0.15   1.6e+02   -0.9   0.0    60    94   542   580   527   603 0.75 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 4608at5820           -            541   1.1e-06   26.1   1.9   2   3     0.017        19    2.2   0.2   305   339   611   646   598   658 0.81 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 4608at5820           -            541   1.1e-06   26.1   1.9   3   3   3.3e-08   3.5e-05   21.1   0.0   368   443   719   797   688   808 0.78 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4608at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:26 2026
# [ok]
