#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1140700.1-p1   -           1220 3276at5820           -            743  5.4e-295  979.0  51.4   1   8   3.6e-35     3e-32  110.3   0.5     1    74    71   144    71   150 0.98 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 3276at5820           -            743   7.6e-13   46.2  46.3   4   4   1.1e-08     9e-06   22.8  13.3   166   279   379   489   370   506 0.89 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3276at5820           -            743   1.4e-12   45.3  19.6   1   3   1.2e-07   9.6e-05   19.4   0.2    20   111   158   240   146   253 0.80 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3276at5820           -            743   1.4e-12   45.3  19.6   2   3   3.2e-06    0.0026   14.6   0.4   342   402   252   312   240   320 0.68 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 3276at5820           -            743   1.4e-12   45.3  19.6   3   3   2.4e-06     0.002   15.0   8.0   336   509   320   490   318   515 0.81 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312800.1-p1   -            861 3276at5820           -            743   3.7e-07   27.3   5.6   1   5      0.68   5.5e+02   -3.0   0.1   449   480   200   231   198   246 0.71 | transcript=PVP01_1312800.1 | gene=PVP01_1312800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:576452-579193(+) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312800.1-p1   -            861 3276at5820           -            743   3.7e-07   27.3   5.6   2   5     0.021        17    2.0   2.7   334   392   277   340   268   359 0.79 | transcript=PVP01_1312800.1 | gene=PVP01_1312800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:576452-579193(+) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312800.1-p1   -            861 3276at5820           -            743   3.7e-07   27.3   5.6   3   5       3.3   2.7e+03   -5.2   6.8    59   120   572   635   521   679 0.53 | transcript=PVP01_1312800.1 | gene=PVP01_1312800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:576452-579193(+) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312800.1-p1   -            861 3276at5820           -            743   3.7e-07   27.3   5.6   4   5      0.26   2.1e+02   -1.6   4.6   314   379   644   711   640   735 0.73 | transcript=PVP01_1312800.1 | gene=PVP01_1312800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:576452-579193(+) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312800.1-p1   -            861 3276at5820           -            743   3.7e-07   27.3   5.6   5   5   4.6e-10   3.7e-07   27.3   5.6   342   409   778   845   757   851 0.91 | transcript=PVP01_1312800.1 | gene=PVP01_1312800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:576452-579193(+) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 3276at5820           -            743   0.00019   18.4   2.5   1   4   2.4e-07   0.00019   18.4   2.5   331   408    70   148    60   190 0.87 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 3276at5820           -            743   0.00019   18.4   2.5   2   4     0.012       9.7    2.8   0.1   166   193   386   413   379   434 0.74 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 3276at5820           -            743   0.00019   18.4   2.5   3   4     0.073        59    0.2   0.0   452   500   432   480   417   488 0.79 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 3276at5820           -            743   0.00019   18.4   2.5   4   4     0.011       9.1    2.9   3.9   441   530   526   616   523   633 0.85 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 3276at5820           -            743    0.0072   13.2   4.6   1   4      0.17   1.4e+02   -1.0   0.2   471   525    89   145    82   160 0.79 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 3276at5820           -            743    0.0072   13.2   4.6   2   4     0.091        75   -0.1   0.0    79   114   145   180   124   184 0.83 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 3276at5820           -            743    0.0072   13.2   4.6   3   4   0.00036      0.29    7.9   0.1   344   392   267   316   248   325 0.86 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 3276at5820           -            743    0.0072   13.2   4.6   4   4    0.0046       3.8    4.2   0.3   206   286   444   524   430   531 0.81 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603000.1-p1   -            950 3276at5820           -            743     0.013   12.3   1.8   1   3   0.00087      0.71    6.6   0.0    34    63    87   117    71   143 0.75 | transcript=PVP01_0603000.1 | gene=PVP01_0603000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:117055-120192(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603000.1-p1   -            950 3276at5820           -            743     0.013   12.3   1.8   2   3     0.079        64    0.1   0.1    24    51   200   227   184   241 0.65 | transcript=PVP01_0603000.1 | gene=PVP01_0603000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:117055-120192(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603000.1-p1   -            950 3276at5820           -            743     0.013   12.3   1.8   3   3     0.012       9.7    2.8   0.1   343   390   295   342   283   376 0.72 | transcript=PVP01_0603000.1 | gene=PVP01_0603000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:117055-120192(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3276at5820           -            743       2.9    4.6   9.7   1   3      0.37     3e+02   -2.1   0.1   358   407    96   145    88   147 0.88 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3276at5820           -            743       2.9    4.6   9.7   2   3   0.00011     0.092    9.5   0.7    77   133   217   272   188   308 0.76 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3276at5820           -            743       2.9    4.6   9.7   3   3     0.079        64    0.1   0.6   427   479   471   520   413   550 0.62 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3276at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3276at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3276at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:16 2026
# [ok]
