#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0715100.1-p1   -            340 9867at5820           -            284  2.7e-172  570.0  32.2   1   2       1.1   2.5e+02   -0.8   0.1     1    14     1    14     1    26 0.75 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 9867at5820           -            284   5.3e-11   40.8  15.1   1   2   1.3e-08   3.1e-06   25.1   1.8   121   212    95   189    12   207 0.63 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 9867at5820           -            284   5.3e-11   40.8  15.1   2   2   1.2e-07   2.9e-05   22.0   0.0    65   120   213   268   205   284 0.80 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 9867at5820           -            284   9.3e-10   36.7   1.3   1   3     4e-12   9.3e-10   36.7   1.3    63   224    22   188    12   205 0.81 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 9867at5820           -            284   9.3e-10   36.7   1.3   2   3       3.1   7.3e+02   -2.3   0.1   247   269   322   344   300   349 0.58 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 9867at5820           -            284   9.3e-10   36.7   1.3   3   3       6.7   1.6e+03   -3.4   4.1   245   272   396   423   386   431 0.68 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 9867at5820           -            284   3.2e-09   34.9   6.4   1   2   3.3e-05    0.0077   14.0   0.6   143   198    94   149    81   194 0.64 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 9867at5820           -            284   3.2e-09   34.9   6.4   2   2   3.3e-08   7.8e-06   23.8   0.7    57   212   299   375   258   384 0.54 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 9867at5820           -            284   7.9e-09   33.6  31.5   1   2     8e-06    0.0019   16.0  20.1    49   223    69   263    53   342 0.65 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 9867at5820           -            284   7.9e-09   33.6  31.5   2   2   2.1e-07   4.8e-05   21.2   0.0    43   131   376   467   370   497 0.81 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 9867at5820           -            284   8.3e-09   33.6   0.7   1   1   5.7e-11   1.3e-08   32.9   0.7   138   217    92   172    63   183 0.79 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 9867at5820           -            284   9.5e-08   30.1  22.1   1   5       2.2   5.2e+02   -1.9   0.5   199   231    82   117    35   130 0.53 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 9867at5820           -            284   9.5e-08   30.1  22.1   2   5       3.9   9.1e+02   -2.7   0.3    99   149   499   556   483   580 0.57 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 9867at5820           -            284   9.5e-08   30.1  22.1   3   5     0.047        11    3.6   0.1   144   172   714   742   703   753 0.86 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 9867at5820           -            284   9.5e-08   30.1  22.1   4   5     0.002      0.46    8.2   0.6    62   131   864   951   848   960 0.62 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 9867at5820           -            284   9.5e-08   30.1  22.1   5   5     6e-10   1.4e-07   29.5   0.6    58   142   977  1058   959  1086 0.86 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 9867at5820           -            284   1.4e-07   29.5   0.6   1   3      0.88   2.1e+02   -0.5   0.0    59    83   539   563   532   573 0.83 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 9867at5820           -            284   1.4e-07   29.5   0.6   2   3   9.5e-09   2.2e-06   25.6   0.1   139   257   669   783   652   802 0.82 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 9867at5820           -            284   1.4e-07   29.5   0.6   3   3      0.78   1.8e+02   -0.4   0.0   160   217   835   897   811   906 0.67 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 9867at5820           -            284   4.4e-07   27.9   0.3   1   2       1.4   3.2e+02   -1.2   0.1   185   209    67    91    10   109 0.53 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 9867at5820           -            284   4.4e-07   27.9   0.3   2   2   7.6e-09   1.8e-06   25.9   0.0    56   133   409   488   395   495 0.89 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939900.1-p1   -           1865 9867at5820           -            284   1.5e-06   26.1   0.1   1   1     3e-08   6.9e-06   24.0   0.1   145   203  1044  1102  1038  1127 0.91 | transcript=PVP01_0939900.1 | gene=PVP01_0939900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:1734255-1739852(+) | protein_length=1865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111800.1-p1   -            181 9867at5820           -            284   2.6e-06   25.4   0.4   1   1   1.5e-08   3.4e-06   25.0   0.3   145   215    51   123    36   155 0.83 | transcript=PVP01_1111800.1 | gene=PVP01_1111800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:489273-490595(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 9867at5820           -            284   3.7e-06   24.9   0.2   1   1   1.2e-07   2.7e-05   22.0   0.2    63   202   640   799   620   826 0.72 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 9867at5820           -            284   7.9e-06   23.8   1.1   1   2   2.8e-07   6.5e-05   20.8   0.9   136   239     2   110     1   134 0.68 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 9867at5820           -            284   7.9e-06   23.8   1.1   2   2      0.11        26    2.4   0.0   145   173   121   149   116   180 0.81 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 9867at5820           -            284   8.6e-06   23.7   0.1   1   1   4.7e-08   1.1e-05   23.3   0.1    59   127    69   138    23   148 0.86 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 9867at5820           -            284   1.1e-05   23.3   0.2   1   2   3.4e-07     8e-05   20.5   0.1   145   235    22   116     9   131 0.80 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 9867at5820           -            284   1.1e-05   23.3   0.2   2   2      0.37        87    0.7   0.0   144   182   172   209   162   231 0.73 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 9867at5820           -            284   4.9e-05   21.2   0.2   1   1   3.8e-07   8.9e-05   20.3   0.2    58   122     5    69     1    89 0.86 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 9867at5820           -            284   0.00061   17.6   0.1   1   1   3.8e-06   0.00088   17.1   0.1   138   229    28   124     4   143 0.74 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 9867at5820           -            284    0.0014   16.4   0.0   1   1   9.5e-06    0.0022   15.8   0.0    63   131     8    79     3    96 0.72 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 9867at5820           -            284    0.0015   16.3   0.0   1   1   6.7e-06    0.0016   16.2   0.0    63   113    37    89    14   117 0.61 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 9867at5820           -            284    0.0016   16.2   1.5   1   2   7.5e-06    0.0018   16.1   0.1    61   205    29    91    13   143 0.60 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 9867at5820           -            284    0.0016   16.2   1.5   2   2       6.3   1.5e+03   -3.3   0.1   256   270   691   705   674   709 0.77 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 9867at5820           -            284     0.006   14.3   0.0   1   1   2.7e-05    0.0063   14.3   0.0   145   198    15    66     9   107 0.75 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 9867at5820           -            284     0.014   13.2   0.5   1   1   9.7e-05     0.023   12.4   0.2   143   188     3    48     1    68 0.80 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932900.1-p1   -            963 9867at5820           -            284     0.036   11.8   0.0   1   1   0.00026     0.062   11.0   0.0    56   118   740   810   736   819 0.78 | transcript=PVP01_0932900.1 | gene=PVP01_0932900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:1408106-1410997(-) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9867at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9867at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9867at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:58 2026
# [ok]
