#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1225500.1-p1   -           1939 558at5820            -           1598         0 3215.5  78.5   1   6  1.8e-274  2.9e-271  901.8  12.5     3   427    29   466    27   471 0.96 | transcript=PVP01_1225500.1 | gene=PVP01_1225500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=PvP01_12_v2:993551-999931(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 558at5820            -           1598  3.4e-130  434.2  33.7   1   6   7.7e-11   1.3e-07   27.9   3.2    28   143     9   126     1   161 0.84 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 558at5820            -           1598  3.4e-130  434.2  33.7   2   6   1.1e-55   1.8e-52  176.5   1.7   297   568   565   836   545   843 0.90 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 558at5820            -           1598  3.4e-130  434.2  33.7   3   6     3e-06    0.0048   12.7   0.1   578   690   931  1057   920  1083 0.61 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 558at5820            -           1598  3.4e-130  434.2  33.7   4   6   1.6e-39   2.6e-36  123.0   0.3   772   923  1550  1705  1537  1713 0.89 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 558at5820            -           1598  3.4e-130  434.2  33.7   5   6     1e-19   1.6e-16   57.4   0.1  1188  1261  1817  1888  1811  1933 0.87 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024600.1-p1   -           2740 558at5820            -           1598  3.4e-130  434.2  33.7   6   6     7e-19   1.1e-15   54.6   1.3  1437  1577  2590  2731  2553  2737 0.88 | transcript=PVP01_1024600.1 | gene=PVP01_1024600 | organism=Plasmodium_vivax_P01 | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=PvP01_10_v2:1068818-1077339(+) | protein_length=2740 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04200.1-p1  -            573 558at5820            -           1598   5.3e-12   42.4  40.5   1   2    0.0034       5.5    2.6  38.4    84   394    89   386     5   400 0.68 | transcript=PVP01_API04200.1 | gene=PVP01_API04200 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=PvP01_API_v2:17469-19190(-) | protein_length=573 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04200.1-p1  -            573 558at5820            -           1598   5.3e-12   42.4  40.5   2   2   2.2e-14   3.6e-11   39.6   0.0   450   536   408   493   389   518 0.88 | transcript=PVP01_API04200.1 | gene=PVP01_API04200 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta', putative | transcript_product=DNA-directed RNA polymerase subunit beta', putative | location=PvP01_API_v2:17469-19190(-) | protein_length=573 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/558at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:27 2026
# [ok]
