#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1336700.1-p1   -            798 5178at5820           -            464  1.1e-183  609.6  87.7   1   5   3.7e-22   2.4e-19   67.8   6.0     2    51    11    60    10    73 0.88 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 5178at5820           -            464   3.9e-12   44.1  34.3   1   3   2.1e-06    0.0014   15.8   1.7    90   162   160   229   128   232 0.82 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 5178at5820           -            464   3.9e-12   44.1  34.3   2   3   3.4e-07   0.00022   18.5   7.4    90   151   230   290   227   295 0.93 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 5178at5820           -            464   3.9e-12   44.1  34.3   3   3     9e-08   5.8e-05   20.4  11.3    89   152   298   361   292   369 0.90 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 5178at5820           -            464   4.6e-11   40.5  23.5   1   2   9.3e-11     6e-08   30.2   8.0    89   165    49   126    46   132 0.89 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 5178at5820           -            464   4.6e-11   40.5  23.5   2   2   1.7e-06    0.0011   16.2   7.4   108   177   183   253   169   286 0.80 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 5178at5820           -            464   6.7e-08   30.1  37.8   1   2   0.00094      0.61    7.1  11.3    86   136    44    94     4    99 0.85 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 5178at5820           -            464   6.7e-08   30.1  37.8   2   2   3.2e-10   2.1e-07   28.5  18.5    39   165   195   328   185   357 0.81 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 5178at5820           -            464   2.4e-06   25.0  15.9   1   2   6.3e-05     0.041   11.0   1.9    99   142    35    77    26    79 0.86 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 5178at5820           -            464   2.4e-06   25.0  15.9   2   2   1.9e-08   1.2e-05   22.6  10.1    90   165    72   148    69   161 0.90 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 5178at5820           -            464   4.5e-05   20.7  12.0   1   2   6.9e-08   4.5e-05   20.7  12.0   106   165    39   100    36   108 0.88 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 5178at5820           -            464   4.5e-05   20.7  12.0   2   2     0.015       9.5    3.2   0.9    90   129    93   131    90   146 0.69 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 5178at5820           -            464   4.8e-05   20.7  11.0   1   4       7.7     5e+03   -5.8   7.6   387   460   724   802   717   805 0.67 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 5178at5820           -            464   4.8e-05   20.7  11.0   2   4   7.3e-08   4.8e-05   20.7  11.0   105   167   825   891   808   905 0.85 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 5178at5820           -            464   4.8e-05   20.7  11.0   3   4   0.00017      0.11    9.6  10.5    87   151   924   987   912  1007 0.87 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1022700.1-p1   -           1374 5178at5820           -            464   4.8e-05   20.7  11.0   4   4     0.024        15    2.5   6.2    24   127  1216  1306  1192  1326 0.69 | transcript=PVP01_1022700.1 | gene=PVP01_1022700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:988894-993212(+) | protein_length=1374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 5178at5820           -            464   0.00023   18.4   2.9   1   2   3.5e-07   0.00023   18.4   2.9    86   152    17    83     7   105 0.77 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 5178at5820           -            464   0.00023   18.4   2.9   2   2         1   6.7e+02   -2.9   2.6    48    66   545   563   538   570 0.84 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322900.1-p1   -            148 5178at5820           -            464     0.028   11.6   4.3   1   1     5e-05     0.033   11.3   4.3   104   160    16    72     7   101 0.80 | transcript=PVP01_1322900.1 | gene=PVP01_1322900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1036981-1037924(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5178at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5178at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5178at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:32 2026
# [ok]
