#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   1  14  3.2e-185  1.1e-181  604.9   9.6     1   266    34   312    34   325 0.96 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6  12  14   1.6e-32   5.3e-29   99.1   2.7   990  1070  1968  2050  1945  2052 0.92 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6  13  14   1.8e-78   5.8e-75  251.4   1.6  1067  1199  2124  2259  2118  2263 0.96 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6  14  14   9.5e-41   3.1e-37  126.4   0.1  1196  1267  2350  2421  2341  2421 0.97 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430100.1-p1   -            958 588at5820            -           1267   1.4e-24   84.4  11.4   1   2      0.55   1.8e+03   -5.3   2.8   794   822   147   175    75   212 0.53 | transcript=PVP01_1430100.1 | gene=PVP01_1430100 | organism=Plasmodium_vivax_P01 | gene_product=ABC1 family, putative | transcript_product=ABC1 family, putative | location=PvP01_14_v2:1299004-1301880(-) | protein_length=958 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430100.1-p1   -            958 588at5820            -           1267   1.4e-24   84.4  11.4   2   2   4.4e-28   1.4e-24   84.4  11.4    18   320   564   864   559   902 0.76 | transcript=PVP01_1430100.1 | gene=PVP01_1430100 | organism=Plasmodium_vivax_P01 | gene_product=ABC1 family, putative | transcript_product=ABC1 family, putative | location=PvP01_14_v2:1299004-1301880(-) | protein_length=958 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/588at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/588at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/588at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:56 2026
# [ok]
