#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1108600.1-p1   -            887 3438at5820           -            675         0 1102.3  80.6   1   6   5.6e-13   2.8e-10   37.9   0.0     1    43     1    58     1    61 0.85 | transcript=PVP01_1108600.1 | gene=PVP01_1108600 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin binding protein, putative | transcript_product=polyubiquitin binding protein, putative | location=PvP01_11_v2:338285-341141(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 3438at5820           -            675     3e-11   41.1   0.6   2   2     0.017       8.7    3.2   2.7   206   283   306   382   249   450 0.64 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3438at5820           -            675   8.8e-10   36.3   1.2   1   2   3.3e-10   1.7e-07   28.7   0.4   105   266    18   189     6   192 0.76 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3438at5820           -            675   8.8e-10   36.3   1.2   2   2    0.0019      0.93    6.4   0.0   224   320   189   279   188   288 0.79 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3438at5820           -            675   4.2e-07   27.4  22.9   1   5      0.93   4.7e+02   -2.5   4.1   423   475    16    72    11   113 0.69 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3438at5820           -            675   4.2e-07   27.4  22.9   2   5   0.00025      0.13    9.3   0.0   167   244   137   215   120   229 0.81 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3438at5820           -            675   4.2e-07   27.4  22.9   3   5   1.9e-05    0.0097   13.0   4.5    81   263   341   523   337   527 0.73 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3438at5820           -            675   4.2e-07   27.4  22.9   4   5   1.8e-08     9e-06   23.0   4.5    77   273   382   575   381   580 0.82 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 3438at5820           -            675   4.2e-07   27.4  22.9   5   5      0.23   1.2e+02   -0.5   0.0   227   263   623   659   607   660 0.88 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 3438at5820           -            675   1.3e-06   25.8  12.4   1   2   5.3e-07   0.00026   18.2   8.2   138   313   887  1068   878  1084 0.79 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 3438at5820           -            675   1.3e-06   25.8  12.4   2   2   0.00044      0.22    8.5   0.1   163   264  1087  1196  1069  1204 0.65 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 3438at5820           -            675   7.5e-06   23.3   8.5   1   3      0.21     1e+02   -0.3   0.1   126   180    81   138    32   146 0.56 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 3438at5820           -            675   7.5e-06   23.3   8.5   2   3   1.4e-05    0.0072   13.4   0.4   228   267   208   247   197   258 0.87 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 3438at5820           -            675   7.5e-06   23.3   8.5   3   3   1.1e-05    0.0053   13.9   0.2   199   265   330   396   255   414 0.67 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 3438at5820           -            675    0.0002   18.6   0.4   1   2     0.012         6    3.8   0.0   227   268  1722  1763  1718  1841 0.71 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 3438at5820           -            675    0.0002   18.6   0.4   2   2   2.4e-05     0.012   12.7   0.1    80   134  1930  1988  1927  1992 0.81 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 3438at5820           -            675   0.00032   17.9  22.1   1   4      0.07        35    1.2   0.2   234   319    12    51     3    74 0.58 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 3438at5820           -            675   0.00032   17.9  22.1   2   4     9e-05     0.045   10.8   1.8   187   263    80   160    70   168 0.87 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 3438at5820           -            675   0.00032   17.9  22.1   3   4   7.3e-07   0.00037   17.7   0.9   206   269   261   328   242   345 0.80 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 3438at5820           -            675   0.00032   17.9  22.1   4   4      0.11        54    0.6   0.8   154   200   612   661   590   690 0.73 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 3438at5820           -            675    0.0037   14.4   0.1   1   1   1.2e-05    0.0063   13.6   0.1   206   312   165   267   158   311 0.82 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 3438at5820           -            675     0.015   12.3   3.3   1   2   0.00053      0.27    8.2   0.4   118   268    87   150    55   240 0.66 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448700.1-p1   -            445 3438at5820           -            675     0.015   12.3   3.3   2   2    0.0057       2.9    4.8   0.1   223   269   302   347   280   357 0.85 | transcript=PVP01_1448700.1 | gene=PVP01_1448700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:2113799-2115136(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 3438at5820           -            675     0.037   11.1   9.5   1   2   0.00031      0.16    9.0   1.6   193   270    11    94     4   140 0.71 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 3438at5820           -            675     0.037   11.1   9.5   2   2    0.0017      0.86    6.5   1.2   242   321   241   319   201   326 0.76 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3438at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3438at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3438at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:50 2026
# [ok]
