#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1466000.1-p1   -            424 6938at5820           -            387    1e-270  895.4   7.3   1   1  4.7e-273  1.3e-270  895.1   7.3     6   387    36   424    33   424 0.99 | transcript=PVP01_1466000.1 | gene=PVP01_1466000 | organism=Plasmodium_vivax_P01 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=PvP01_14_v2:2814369-2815643(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6938at5820           -            387   1.2e-64  217.1   8.1   2   4   4.6e-14   1.3e-11   42.5   1.6   220   360   495   630   473   649 0.83 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6938at5820           -            387   1.2e-64  217.1   8.1   3   4   2.4e-46   6.5e-44  148.8   0.0   125   318   764   957   748   967 0.90 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 6938at5820           -            387   1.2e-64  217.1   8.1   4   4     0.019       5.2    4.3   0.1   330   356  1096  1122  1090  1132 0.83 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 6938at5820           -            387   4.7e-55  185.5   0.2   1   2   5.8e-06    0.0016   15.9   0.0   140   315   219   382   210   390 0.69 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426000.1-p1   -           1070 6938at5820           -            387   4.7e-55  185.5   0.2   2   2     1e-51   2.7e-49  166.5   0.1   121   358   563   799   541   814 0.93 | transcript=PVP01_1426000.1 | gene=PVP01_1426000 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_14_v2:1111991-1115203(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 6938at5820           -            387     7e-55  184.9   0.0   1   1   4.3e-57   1.2e-54  184.2   0.0   130   368   160   401   154   414 0.93 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 6938at5820           -            387   3.1e-54  182.8   0.1   1   1   2.3e-56   6.2e-54  181.8   0.1   121   372   392   651   362   656 0.87 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 6938at5820           -            387   1.5e-51  173.9   0.7   1   1     1e-53   2.8e-51  173.1   0.7   122   372   242   488   232   505 0.93 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 6938at5820           -            387   6.9e-45  152.0   0.3   1   2   9.3e-42   2.5e-39  133.7   0.2   133   355   256   492   239   520 0.82 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 6938at5820           -            387   6.9e-45  152.0   0.3   2   2   5.3e-06    0.0014   16.0   0.0   167   282   572   687   545   709 0.78 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 6938at5820           -            387   3.5e-37  126.7   0.0   1   1   2.7e-39   7.2e-37  125.6   0.0   128   311   115   294    99   298 0.90 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 6938at5820           -            387   2.4e-35  120.6   0.1   1   1   1.4e-37   3.8e-35  120.0   0.1   134   350   427   644   408   652 0.87 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 6938at5820           -            387   6.9e-22   76.3   0.0   1   2   1.2e-19   3.3e-17   60.9   0.0   154   263   586   701   563   715 0.76 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 6938at5820           -            387   6.9e-22   76.3   0.0   2   2   4.1e-05     0.011   13.1   0.0   258   310   780   832   770   841 0.83 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 6938at5820           -            387   1.7e-11   42.2   0.0   1   1   6.1e-14   1.7e-11   42.2   0.0   166   312   344   489   329   510 0.84 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 6938at5820           -            387   4.3e-11   40.8   0.0   1   1   2.5e-13   6.8e-11   40.1   0.0   165   262   742   842   737   883 0.86 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 6938at5820           -            387   1.3e-10   39.2   0.0   1   1   8.1e-13   2.2e-10   38.5   0.0   164   311   344   508   321   521 0.78 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 6938at5820           -            387   4.2e-10   37.5   0.0   1   2   0.00028     0.077   10.3   0.0   159   195   248   284   231   299 0.82 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 6938at5820           -            387   4.2e-10   37.5   0.0   2   2     1e-08   2.8e-06   24.9   0.0   256   302   368   414   360   428 0.92 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 6938at5820           -            387   1.4e-06   26.0   0.4   1   3       7.2     2e+03   -4.2   0.2    71   107   184   221   171   227 0.66 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 6938at5820           -            387   1.4e-06   26.0   0.4   2   3      0.08        22    2.3   0.0   162   202   520   560   514   564 0.89 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1243900.1-p1   -            742 6938at5820           -            387   1.4e-06   26.0   0.4   3   3   1.7e-07   4.7e-05   20.9   0.0   193   238   631   676   621   717 0.84 | transcript=PVP01_1243900.1 | gene=PVP01_1243900 | organism=Plasmodium_vivax_P01 | gene_product=AAA ATPase, putative | transcript_product=AAA ATPase, putative | location=PvP01_12_v2:1799257-1801485(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203900.1-p1   -           1105 6938at5820           -            387    0.0036   14.7   1.0   1   2      0.74     2e+02   -0.9   1.0    18    36    40    58    30    68 0.78 | transcript=PVP01_0203900.1 | gene=PVP01_0203900 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_02_v2:189245-192562(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0203900.1-p1   -           1105 6938at5820           -            387    0.0036   14.7   1.0   2   2   5.5e-05     0.015   12.7   0.0   168   240   326   397   312   416 0.77 | transcript=PVP01_0203900.1 | gene=PVP01_0203900 | organism=Plasmodium_vivax_P01 | gene_product=P-loop containing nucleoside triphosphate hydrolase, putative | transcript_product=P-loop containing nucleoside triphosphate hydrolase, putative | location=PvP01_02_v2:189245-192562(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 6938at5820           -            387    0.0075   13.7   0.2   1   3      0.73     2e+02   -0.9   0.2    18   187   753   941   748   966 0.52 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 6938at5820           -            387    0.0075   13.7   0.2   2   3         2   5.4e+02   -2.3   0.0   159   198  1534  1574  1520  1585 0.80 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 6938at5820           -            387    0.0075   13.7   0.2   3   3   0.00033     0.091   10.1   0.0   136   206  2285  2356  2277  2367 0.84 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6938at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6938at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6938at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:15 2026
# [ok]
