#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1463500.1-p1   -            209 12243at5820          -            188  7.9e-109  360.3   4.2   1   1  1.8e-111  9.2e-109  360.1   4.2     1   188     5   209     5   209 0.95 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 12243at5820          -            188   9.8e-08   30.7   0.2   1   2      0.19        96    1.4   0.0   122   154    23    55    19    64 0.84 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 12243at5820          -            188   9.8e-08   30.7   0.2   2   2   2.2e-09   1.1e-06   27.2   0.1   104   170    78   144    67   160 0.88 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 12243at5820          -            188   1.9e-05   23.2   0.5   1   5       1.3   6.3e+02   -1.3   0.0   120   155   225   261   196   271 0.75 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 12243at5820          -            188   1.9e-05   23.2   0.5   2   5       5.5   2.8e+03   -3.4   0.0    76   102   282   311   272   322 0.67 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 12243at5820          -            188   1.9e-05   23.2   0.5   3   5       4.6   2.3e+03   -3.1   0.1    51    86   338   373   333   384 0.65 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 12243at5820          -            188   1.9e-05   23.2   0.5   4   5       1.8   8.8e+02   -1.8   0.3    49    96   473   522   456   553 0.65 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 12243at5820          -            188   1.9e-05   23.2   0.5   5   5   3.8e-08   1.9e-05   23.2   0.5   107   178   574   648   554   654 0.78 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 12243at5820          -            188    0.0036   15.8   5.7   1   1   8.5e-06    0.0043   15.6   5.7    51   186    19   155     3   157 0.75 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12243at5820          -            188    0.0042   15.6   0.6   1   2    0.0065       3.2    6.2   0.1   109   148   363   402   333   423 0.82 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12243at5820          -            188    0.0042   15.6   0.6   2   2    0.0041         2    6.8   0.1   105   151   440   488   428   524 0.78 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330600.1-p1   -            136 12243at5820          -            188    0.0061   15.1   0.2   1   1   1.4e-05     0.007   14.9   0.2    90   165    36   111     9   131 0.71 | transcript=PVP01_1330600.1 | gene=PVP01_1330600 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:1281637-1282047(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430200.1-p1   -            111 12243at5820          -            188     0.011   14.3   0.1   1   1   2.7e-05     0.013   14.0   0.1    60   116    46   102    40   110 0.82 | transcript=PVP01_1430200.1 | gene=PVP01_1430200 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal protein L33, apicoplast, putative | transcript_product=ribosomal protein L33, apicoplast, putative | location=PvP01_14_v2:1302963-1303546(+) | protein_length=111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12243at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12243at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12243at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:19 2026
# [ok]
