#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1431200.1-p1   -           1226 2022at5820           -            968         0 1830.0 148.6   1   5   5.5e-47   5.9e-44  148.9   9.1     1    87     1    87     1   105 0.88 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 2022at5820           -            968   0.00016   18.4   1.4   2   2   0.00049      0.53    6.8   0.3   830   893   602   664   552   704 0.80 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 2022at5820           -            968    0.0043   13.7   6.1   1   2     3e-05     0.033   10.8   2.7   809   892    73   151    58   166 0.79 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 2022at5820           -            968    0.0043   13.7   6.1   2   2    0.0027       2.9    4.3   0.1   873   930   215   276   178   316 0.61 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010180.1-p1   -            156 2022at5820           -            968      0.02   11.4   0.8   1   1   2.2e-05     0.024   11.2   0.8   491   574    29   112     5   124 0.76 | transcript=PVP01_0010180.1 | gene=PVP01_0010180 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_88.final:1081-1700(+) | protein_length=156 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2022at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2022at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2022at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:48 2026
# [ok]
