#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0705100.1-p1   -            842 7115at5820           -            359  1.1e-170  566.0  81.8   1   6    5e-133  3.3e-130  432.8  21.2     1   220     3   252     3   267 0.91 | transcript=PVP01_0705100.1 | gene=PVP01_0705100 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:298316-300844(-) | protein_length=842 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008800.1-p1   -           1006 7115at5820           -            359   2.2e-36  124.2  12.0   6   6       3.3   2.1e+03   -4.1   0.8   203   241   949   983   942   993 0.57 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7115at5820           -            359   5.1e-24   83.5   8.8   1   4   7.9e-27   5.1e-24   83.5   8.8    35   139     8   114     3   127 0.95 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7115at5820           -            359   5.1e-24   83.5   8.8   2   4        10   6.5e+03   -7.0  10.4   204   287   274   355   235   380 0.54 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7115at5820           -            359   5.1e-24   83.5   8.8   3   4       3.7   2.4e+03   -4.3   5.0   235   281   511   554   489   617 0.63 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7115at5820           -            359   5.1e-24   83.5   8.8   4   4       5.8   3.8e+03   -4.9   2.7   192   192   831   831   756   944 0.47 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7115at5820           -            359   2.4e-23   81.2  11.1   1   4        10   6.5e+03   -5.7   2.4   258   312   276   329   214   336 0.49 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7115at5820           -            359   2.4e-23   81.2  11.1   2   4   3.8e-26   2.4e-23   81.2  11.1    38   148   489   599   483   638 0.88 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7115at5820           -            359   2.4e-23   81.2  11.1   3   4       4.7   3.1e+03   -4.6   0.7   321   349  1441  1468  1397  1472 0.76 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7115at5820           -            359   2.4e-23   81.2  11.1   4   4       4.6     3e+03   -4.6   4.0   276   345  1823  1894  1791  1901 0.70 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 7115at5820           -            359   1.3e-22   78.9   9.2   1   2   1.9e-25   1.3e-22   78.9   9.2    33   139    18   126     2   177 0.88 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 7115at5820           -            359   1.3e-22   78.9   9.2   2   2       1.8   1.2e+03   -3.2   3.3   208   304   259   358   234   378 0.49 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7115at5820           -            359   2.4e-20   71.4  21.1   1   4        10   6.5e+03   -6.2   8.6   197   300    28   116    10   131 0.44 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7115at5820           -            359   2.4e-20   71.4  21.1   2   4   3.6e-23   2.4e-20   71.4  21.1    13   140   355   491   343   502 0.80 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7115at5820           -            359   2.4e-20   71.4  21.1   3   4        10   6.5e+03   -7.5  10.5   161   229   669   735   636   761 0.51 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7115at5820           -            359   2.4e-20   71.4  21.1   4   4      0.29   1.9e+02   -0.6   1.0   171   225   760   814   736   833 0.69 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 7115at5820           -            359   1.2e-17   62.5  25.0   1   3   1.8e-20   1.2e-17   62.5  25.0    37   239    23   230     2   296 0.67 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 7115at5820           -            359   1.2e-17   62.5  25.0   2   3       1.8   1.2e+03   -3.2   1.3   231   329   415   470   385   496 0.46 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 7115at5820           -            359   1.2e-17   62.5  25.0   3   3       6.7   4.4e+03   -5.1   6.5   184   297   807   916   774   975 0.59 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 7115at5820           -            359   2.1e-16   58.4   9.6   1   1   6.5e-19   4.2e-16   57.4   9.6    35   139     3   103     1   114 0.93 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 7115at5820           -            359   3.2e-14   51.2   5.1   1   2     5e-17   3.2e-14   51.2   5.1    38   137     2   100     1   129 0.94 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 7115at5820           -            359   3.2e-14   51.2   5.1   2   2       4.1   2.6e+03   -4.4   1.3   273   299   375   401   340   444 0.53 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323700.1-p1   -           1314 7115at5820           -            359   2.9e-10   38.2   4.0   1   1     8e-13   5.2e-10   37.4   4.0    72   140   192   260   177   270 0.89 | transcript=PVP01_1323700.1 | gene=PVP01_1323700 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:1061535-1065479(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7115at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7115at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7115at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:03 2026
# [ok]
