#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0821200.1-p1   -           1723 555at5820            -           1342         0 2685.6  68.7   1   5  4.9e-156  5.4e-153  509.9   8.9     1   252    10   270    10   275 0.97 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 555at5820            -           1342  1.2e-110  369.6  56.1   7   7      0.96     1e+03   -4.6   5.5  1167  1280  1350  1459  1307  1468 0.80 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   1   8   2.5e-41   2.7e-38  129.9  15.6    54   387    89   424    81   433 0.83 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   2   8   2.5e-05     0.028   10.6   0.1   402   471   689   759   681   782 0.78 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   3   8         6   6.5e+03  -11.6   8.2   817   922  1192  1301  1173  1315 0.72 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   4   8    0.0021       2.3    4.2   0.2   535   591  1402  1455  1381  1459 0.73 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   5   8    0.0003      0.33    7.0   0.0   636   677  1451  1494  1446  1503 0.85 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   6   8   3.9e-20   4.2e-17   59.6   0.5   687   806  1637  1765  1628  1772 0.86 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   7   8   3.1e-33   3.3e-30  103.1   5.0   871  1086  1768  1984  1754  2001 0.91 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 555at5820            -           1342     3e-81  272.2  72.9   8   8       1.1   1.2e+03   -4.8   4.3    48   110  2696  2759  2580  2780 0.85 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 555at5820            -           1342   5.2e-64  215.1  69.8   1   6   5.3e-23   5.8e-20   69.1  14.2    52   228    60   238    15   253 0.76 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 555at5820            -           1342   5.2e-64  215.1  69.8   2   6      0.12   1.3e+02   -1.6   2.8   180   237   326   382   275   392 0.73 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 555at5820            -           1342   5.2e-64  215.1  69.8   3   6   6.3e-11   6.8e-08   29.1   9.8   255   468   624   816   612   827 0.75 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 555at5820            -           1342   5.2e-64  215.1  69.8   4   6     0.034        37    0.2   0.0   540   582  1121  1162  1099  1165 0.76 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 555at5820            -           1342   5.2e-64  215.1  69.8   5   6   5.1e-27   5.6e-24   82.4   5.7   633   801  1164  1333  1159  1348 0.88 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 555at5820            -           1342   5.2e-64  215.1  69.8   6   6   3.4e-20   3.7e-17   59.8   3.7   906  1084  1365  1543  1354  1548 0.81 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 555at5820            -           1342   1.7e-12   44.4   8.6   1   4   0.00024      0.26    7.3   0.0   393   426   336   369   330   381 0.87 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 555at5820            -           1342   1.7e-12   44.4   8.6   2   4      0.11   1.2e+02   -1.5   0.1   597   634   506   543   494   559 0.86 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 555at5820            -           1342   1.7e-12   44.4   8.6   3   4   3.1e-12   3.4e-09   33.5   0.2   638   792   628   781   624   788 0.82 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 555at5820            -           1342   1.7e-12   44.4   8.6   4   4   0.00045      0.49    6.4   0.1   923   992   844   911   837   952 0.75 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 555at5820            -           1342   1.8e-05   21.1   0.6   1   3      0.02        22    1.0   0.0   402   430   513   541   379   551 0.83 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 555at5820            -           1342   1.8e-05   21.1   0.6   2   3   3.7e-07    0.0004   16.6   0.0   695   794   771   869   751   895 0.83 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 555at5820            -           1342   1.8e-05   21.1   0.6   3   3     0.079        86   -1.0   0.1   925   982   912   969   907   986 0.75 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/555at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/555at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/555at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:19 2026
# [ok]
