#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0111900.1-p1   -            686 4340at5820           -            495  1.2e-267  887.0  37.8   1   4   4.4e-97   4.8e-94  314.4   0.3     1   153     2   155     2   162 0.97 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 4340at5820           -            495   7.1e-19   66.4  15.4   3   3   6.5e-07    0.0007   17.0   2.7   257   373   330   438   316   482 0.77 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4340at5820           -            495   1.2e-17   62.4  16.4   1   4   7.6e-05     0.082   10.1   0.1    71   120    48    97    44   107 0.74 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4340at5820           -            495   1.2e-17   62.4  16.4   2   4   2.5e-08   2.8e-05   21.6   0.4   264   315   119   170    92   183 0.81 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4340at5820           -            495   1.2e-17   62.4  16.4   3   4   2.6e-06    0.0028   15.0   1.8   275   348   207   272   179   285 0.74 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 4340at5820           -            495   1.2e-17   62.4  16.4   4   4   6.6e-09   7.1e-06   23.5   0.2    39   294   307   386   284   399 0.55 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4340at5820           -            495   2.8e-14   51.3  13.1   1   6   2.6e-05     0.028   11.7   0.0   305   347   218   260   206   278 0.63 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4340at5820           -            495   2.8e-14   51.3  13.1   2   6   5.3e-07   0.00057   17.3   1.1   235   346   336   448   314   475 0.77 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4340at5820           -            495   2.8e-14   51.3  13.1   3   6     0.036        39    1.3   0.0    93   121   624   652   620   661 0.85 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4340at5820           -            495   2.8e-14   51.3  13.1   4   6   5.9e-05     0.064   10.5   0.1   265   336   677   746   662   754 0.81 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4340at5820           -            495   2.8e-14   51.3  13.1   5   6    0.0025       2.7    5.1   0.0   284   346   770   833   753   840 0.71 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025500.1-p1   -           2232 4340at5820           -            495   2.8e-14   51.3  13.1   6   6    0.0018       1.9    5.6   0.0   135   251   907  1016   867  1039 0.65 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4340at5820           -            495   5.9e-07   27.1   9.1   1   2   3.8e-08   4.1e-05   21.0   0.6   258   346   230   327   190   363 0.76 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 4340at5820           -            495   5.9e-07   27.1   9.1   2   2    0.0001      0.11    9.7   2.3   256   305   434   483   420   514 0.71 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4340at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4340at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4340at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:09 2026
# [ok]
