#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0805200.1-p1   -           1554 1130at5820           -           1077         0 2108.8  29.8   1   3   6.8e-11   6.4e-08   29.4   1.3     1    70     1    76     1   123 0.47 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   1   5       3.3   3.1e+03   -5.9   5.8    31   107  1406  1486  1396  1513 0.56 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   2   5   6.9e-08   6.5e-05   19.5   0.0   491   531  1748  1790  1707  1800 0.74 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   3   5     0.012        11    2.2   0.0   539   563  1825  1849  1812  1853 0.85 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   4   5   1.4e-33   1.3e-30  104.6   2.1   584   871  2058  2365  2047  2377 0.79 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 1130at5820           -           1077   1.5e-41  140.8  22.1   5   5   1.1e-09     1e-06   25.5   0.1   857   908  2434  2482  2424  2582 0.88 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1130at5820           -           1077   4.9e-23   79.5   4.2   1   7       2.6   2.4e+03   -5.6   2.1   906   974    66   140    60   185 0.60 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1130at5820           -           1077   4.9e-23   79.5   4.2   2   7       1.7   1.6e+03   -4.9   6.6    37   123   242   328   203   351 0.54 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1130at5820           -           1077   4.9e-23   79.5   4.2   3   7   2.2e-06    0.0021   14.5   0.0   493   534   621   663   613   676 0.81 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1130at5820           -           1077   4.9e-23   79.5   4.2   4   7         7   6.5e+03   -7.4  12.2     5   106   716   839   712   846 0.51 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1130at5820           -           1077   4.9e-23   79.5   4.2   5   7   2.7e-19   2.5e-16   57.3   0.1   595   744   957  1104   897  1110 0.74 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1130at5820           -           1077   4.9e-23   79.5   4.2   6   7   1.3e-08   1.2e-05   21.9   0.1   813   869  1239  1300  1195  1307 0.75 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 1130at5820           -           1077   4.9e-23   79.5   4.2   7   7   4.7e-06    0.0043   13.4   0.1   876   905  1357  1386  1354  1409 0.82 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1130at5820           -           1077   7.6e-23   78.9   3.8   1   4    0.0035       3.3    3.9   0.0   509   557   656   704   645   719 0.87 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1130at5820           -           1077   7.6e-23   78.9   3.8   2   4    0.0054         5    3.3   0.0   650   747   737   836   722   842 0.80 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1130at5820           -           1077   7.6e-23   78.9   3.8   3   4   9.4e-05     0.088    9.1   0.1   788   834   933   977   906   983 0.84 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 1130at5820           -           1077   7.6e-23   78.9   3.8   4   4   4.3e-20     4e-17   59.9   0.1   843   910  1164  1230  1159  1240 0.89 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1130at5820           -           1077   1.6e-17   61.3   4.4   1   4       1.3   1.2e+03   -4.5   0.4   918   972    31    81    18   102 0.72 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1130at5820           -           1077   1.6e-17   61.3   4.4   2   4     0.095        89   -0.8   0.0   656   715  1457  1513  1422  1517 0.75 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1130at5820           -           1077   1.6e-17   61.3   4.4   3   4   2.5e-20   2.3e-17   60.7   0.1   725   867  1645  1786  1637  1795 0.90 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 1130at5820           -           1077   1.6e-17   61.3   4.4   4   4     0.085        79   -0.7   0.0   876   901  1838  1863  1836  1878 0.83 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1130at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1130at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1130at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:01 2026
# [ok]
