#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1435500.1-p1   -           1104 2816at5820           -            697         0 1282.8  42.4   1   5    0.0036       4.7    4.1   0.3     1    50     1    49     1    72 0.69 | transcript=PVP01_1435500.1 | gene=PVP01_1435500 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=PvP01_14_v2:1497430-1500744(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 2816at5820           -            697     1e-19   69.1   7.8   3   4   4.7e-06    0.0062   13.6   0.1   562   680   486   596   475   615 0.73 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0514900.1-p1   -            705 2816at5820           -            697     1e-19   69.1   7.8   4   4   9.3e-06     0.012   12.6   0.3   460   530   548   616   522   687 0.56 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2816at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2816at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2816at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:59 2026
# [ok]
