#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6   1  16  2.4e-181  1.6e-177  591.3  79.5     1   351     1   403     1   411 0.89 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6  14  16   5.1e-67   3.4e-63  212.1  22.8  1706  1870  3124  3295  3110  3312 0.84 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6  15  16  2.1e-113  1.4e-109  365.9  43.3  1841  2094  3296  3577  3287  3586 0.88 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302600.1-p1   -           3706 363at5820            -           2139         0 3284.4 407.6  16  16   1.7e-16   1.1e-12   44.6   0.2  2104  2139  3671  3706  3656  3706 0.94 | transcript=PVP01_0302600.1 | gene=PVP01_0302600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_03_v2:118170-129734(+) | protein_length=3706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/363at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/363at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/363at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:44 2026
# [ok]
