#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0836800.1-p1   -            611 4261at5820           -            540         0 1039.3  61.3   1   1         0         0 1023.3  61.3     2   535     4   594     3   607 0.93 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 4261at5820           -            540   2.1e-09   35.4   0.9   1   2   3.3e-08   1.3e-05   22.9   0.0   152   209    37    94    29   101 0.93 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 4261at5820           -            540   2.1e-09   35.4   0.9   2   2   4.1e-05     0.016   12.7   0.5    66   103    92   129    87   148 0.71 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921600.1-p1   -            289 4261at5820           -            540   2.9e-07   28.3  26.7   1   1   7.6e-10   2.9e-07   28.3  26.7   355   515    85   264    57   272 0.70 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005400.1-p1   -            437 4261at5820           -            540     4e-06   24.6  32.9   1   1   3.1e-08   1.2e-05   23.0  32.7   287   490   146   366   132   406 0.58 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 4261at5820           -            540   1.9e-05   22.4   1.9   1   1   7.8e-08     3e-05   21.7   1.9    38   196  1020  1182  1004  1216 0.78 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 4261at5820           -            540   5.7e-05   20.8   8.7   1   2       4.6   1.8e+03   -4.0   1.2   187   196    35    44    19    77 0.50 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 4261at5820           -            540   5.7e-05   20.8   8.7   2   2   1.5e-07   5.7e-05   20.8   8.7   378   479   113   226   100   237 0.67 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 4261at5820           -            540   5.8e-05   20.7   4.4   1   2   0.00085      0.33    8.4   3.4   164   243    23   100     9   103 0.80 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 4261at5820           -            540   5.8e-05   20.7   4.4   2   2   5.7e-07   0.00022   18.8   4.2   127   217    56   143    33   165 0.79 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 4261at5820           -            540   0.00011   19.8  32.7   1   2   2.8e-07   0.00011   19.8  32.7   367   492   127   270    40   283 0.70 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423400.1-p1   -           1013 4261at5820           -            540   0.00011   19.8  32.7   2   2       3.7   1.4e+03   -3.6   0.8   355   367   904   916   872  1003 0.53 | transcript=PVP01_1423400.1 | gene=PVP01_1423400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=PvP01_14_v2:1031840-1035661(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 4261at5820           -            540   0.00029   18.5   0.1   1   1   1.8e-06   0.00068   17.2   0.1   151   244    89   181    41   190 0.79 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919600.1-p1   -            366 4261at5820           -            540    0.0039   14.7   0.1   1   1   1.6e-05    0.0061   14.1   0.1    29   209   270   340   256   351 0.57 | transcript=PVP01_0919600.1 | gene=PVP01_0919600 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=PvP01_09_v2:857907-859007(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4261at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:56 2026
# [ok]
