#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1335000.1-p1   -            381 8409at5820           -            316  9.4e-184  608.7  15.5   1   1  4.2e-186  1.1e-183  608.5  15.5     1   316     8   349     8   349 0.96 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 8409at5820           -            316   6.3e-10   37.7   0.8   1   2   2.4e-12   6.3e-10   37.7   0.8    32   113    18    97     2   104 0.81 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 8409at5820           -            316   6.3e-10   37.7   0.8   2   2       5.2   1.3e+03   -2.8   0.1   171   189   222   240   191   259 0.66 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 8409at5820           -            316   9.5e-10   37.1   1.6   1   1   8.9e-12   2.3e-09   35.8   1.6    47   110     7    76     2    83 0.84 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 8409at5820           -            316   9.7e-10   37.1   1.1   1   2   3.7e-12   9.7e-10   37.1   1.1    48   104     2    58     1    77 0.86 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 8409at5820           -            316   9.7e-10   37.1   1.1   2   2       1.9     5e+02   -1.4   5.5    86   144    98   158    67   176 0.66 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802600.1-p1   -           1837 8409at5820           -            316   3.4e-09   35.3   0.7   1   1   2.9e-11   7.6e-09   34.1   0.7    46   113   979  1043   970  1055 0.92 | transcript=PVP01_0802600.1 | gene=PVP01_0802600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:130294-135948(+) | protein_length=1837 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 8409at5820           -            316   1.9e-06   26.2   9.3   1   3   5.8e-06    0.0015   16.7   0.0    47    81     7    41     2    73 0.84 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 8409at5820           -            316   1.9e-06   26.2   9.3   2   3   9.8e-05     0.026   12.7   1.9    86   175   116   204   104   231 0.66 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 8409at5820           -            316   1.9e-06   26.2   9.3   3   3      0.79   2.1e+02   -0.2   1.1   221   299   224   306   211   310 0.65 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408100.1-p1   -            337 8409at5820           -            316   4.1e-06   25.1   2.7   1   1   1.6e-08   4.1e-06   25.1   2.7    44   119   112   187   105   197 0.88 | transcript=PVP01_1408100.1 | gene=PVP01_1408100 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_14_v2:380480-381493(-) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 8409at5820           -            316     1e-05   23.8   2.2   1   1     7e-08   1.8e-05   23.0   2.2    44   119    67   143    52   159 0.86 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 8409at5820           -            316    0.0004   18.6   1.4   1   2      0.45   1.2e+02    0.7   0.0   144   195    66   116    61   124 0.83 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 8409at5820           -            316    0.0004   18.6   1.4   2   2   6.4e-06    0.0017   16.6   0.7    59   108   126   179   113   205 0.84 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 8409at5820           -            316   0.00078   17.6   0.3   1   2     3e-06   0.00078   17.6   0.3    45    91   171   217   164   233 0.87 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435700.1-p1   -           1079 8409at5820           -            316   0.00078   17.6   0.3   2   2      0.25        65    1.5   1.1    63   111   248   296   232   305 0.83 | transcript=PVP01_1435700.1 | gene=PVP01_1435700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=PvP01_14_v2:1505395-1508634(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 8409at5820           -            316    0.0031   15.7   0.9   1   2   1.8e-05    0.0046   15.1   0.0    46    83     6    43     2    57 0.87 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 8409at5820           -            316    0.0031   15.7   0.9   2   2         2   5.2e+02   -1.5   0.2    90    90   127   127    72   167 0.56 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320100.1-p1   -            115 8409at5820           -            316     0.016   13.3   0.0   1   1   7.6e-05      0.02   13.0   0.0    40    88    57   105    44   114 0.79 | transcript=PVP01_0320100.1 | gene=PVP01_0320100 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=PvP01_03_v2:837226-837864(+) | protein_length=115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8409at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8409at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8409at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:59 2026
# [ok]
