#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0207800.1-p1   -            168 12840at5820          -            154  2.5e-101  334.7  17.9   1   1  8.3e-104  2.9e-101  334.5  17.9     1   154    15   168    15   168 1.00 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520700.1-p1   -            150 12840at5820          -            154     2e-05   23.3   2.6   1   1   6.2e-08   2.1e-05   23.1   2.6     6   145     5   144     1   150 0.85 | transcript=PVP01_0520700.1 | gene=PVP01_0520700 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=PvP01_05_v2:849436-850418(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12840at5820          -            154   2.1e-05   23.2  12.1   1   3   6.5e-06    0.0022   16.6   1.3    88   134    13    59     2    70 0.83 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12840at5820          -            154   2.1e-05   23.2  12.1   2   3      0.55   1.9e+02    0.6   0.1     7    59    62   114    56   125 0.81 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 12840at5820          -            154   2.1e-05   23.2  12.1   3   3   0.00018     0.062   11.9   2.0    64   131   148   215   131   233 0.89 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 12840at5820          -            154   3.1e-05   22.6   2.9   1   1   1.4e-07   4.7e-05   22.0   2.7    48   145    55   152    22   157 0.88 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 12840at5820          -            154   0.00014   20.5   0.1   1   1   5.8e-07    0.0002   20.0   0.1    25   144    19   133     2   138 0.74 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214200.1-p1   -            131 12840at5820          -            154   0.00034   19.2   0.1   1   1   1.4e-06   0.00047   18.8   0.1    11   145     5   129     1   131 0.84 | transcript=PVP01_0214200.1 | gene=PVP01_0214200 | organism=Plasmodium_vivax_P01 | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=PvP01_02_v2:602358-603491(-) | protein_length=131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330600.1-p1   -            136 12840at5820          -            154   0.00082   18.0   1.1   1   1   3.3e-05     0.011   14.3   1.1    15   144     8   130     4   134 0.80 | transcript=PVP01_1330600.1 | gene=PVP01_1330600 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:1281637-1282047(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12840at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12840at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12840at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:00 2026
# [ok]
