#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1444700.1-p1   -           1244 2119at5820           -            997         0 1663.2  17.1   1   2         0         0 1420.4   7.0     2   818    36   969    33   973 0.94 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 2119at5820           -            997   4.5e-09   33.2  21.9   4   4   1.3e-05    0.0039   13.5   0.3   855   911   769   825   759   832 0.89 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 2119at5820           -            997   6.8e-09   32.6  21.8   1   5     1e-09   3.1e-07   27.1  13.7   179   404   140   399   133   404 0.79 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 2119at5820           -            997   6.8e-09   32.6  21.8   2   5     2e-07   6.1e-05   19.5   1.0   295   391   364   460   358   481 0.90 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 2119at5820           -            997   6.8e-09   32.6  21.8   3   5   7.9e-05     0.023   10.9   0.4   193   260   402   469   389   538 0.73 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 2119at5820           -            997   6.8e-09   32.6  21.8   4   5     0.048        14    1.7   0.1   630   691   705   769   694   787 0.69 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 2119at5820           -            997   6.8e-09   32.6  21.8   5   5      0.97   2.9e+02   -2.6   0.4   370   403   884   917   849   925 0.58 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 2119at5820           -            997   3.6e-08   30.2   0.2   1   2      0.23        69   -0.5   0.7   715   811   681   777   626   782 0.62 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116700.1-p1   -            970 2119at5820           -            997   3.6e-08   30.2   0.2   2   2   1.2e-10   3.6e-08   30.2   0.2   855   905   844   894   839   916 0.86 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618100.1-p1   -            512 2119at5820           -            997   4.1e-08   30.0  14.3   1   2    0.0002     0.059    9.6   0.8   523   594    60   131    45   132 0.78 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618100.1-p1   -            512 2119at5820           -            997   4.1e-08   30.0  14.3   2   2   2.5e-09   7.4e-07   25.8   9.5   141   344   116   328   112   363 0.80 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 2119at5820           -            997   2.4e-06   24.1  12.2   1   2     2e-07     6e-05   19.5   2.7   171   297   518   647   485   664 0.76 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 2119at5820           -            997   2.4e-06   24.1  12.2   2   2   0.00022     0.067    9.4   2.1   711   812   750   855   735   857 0.74 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 2119at5820           -            997   2.8e-05   20.6   0.2   1   2     0.088        26    0.9   0.8   201   264   130   194    52   202 0.48 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 2119at5820           -            997   2.8e-05   20.6   0.2   2   2   9.5e-08   2.8e-05   20.6   0.2   813   901   331   427   326   442 0.68 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 2119at5820           -            997   3.2e-05   20.4  17.7   1   5   5.2e-05     0.015   11.6   4.0   526   613   507   593   496   615 0.86 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 2119at5820           -            997   3.2e-05   20.4  17.7   2   5   1.1e-07   3.2e-05   20.4  17.7   524   677   622   775   609   782 0.91 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 2119at5820           -            997   3.2e-05   20.4  17.7   3   5    0.0001     0.031   10.5  12.2   526   617   772   865   767   887 0.83 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 2119at5820           -            997   3.2e-05   20.4  17.7   4   5       4.5   1.3e+03   -4.8   0.9   339   381  1003  1045   993  1056 0.60 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 2119at5820           -            997   3.2e-05   20.4  17.7   5   5       3.5     1e+03   -4.4   0.5   887   920  1574  1607  1567  1612 0.80 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 2119at5820           -            997   4.6e-05   19.9  52.0   1   4   1.6e-06   0.00048   16.5   7.1   592   685   131   224   123   239 0.86 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 2119at5820           -            997   4.6e-05   19.9  52.0   2   4   0.00046      0.14    8.4   2.1   193   265   238   310   222   315 0.83 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 2119at5820           -            997   4.6e-05   19.9  52.0   3   4     0.081        24    1.0  14.2   316   427   540   661   478   672 0.74 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 2119at5820           -            997   4.6e-05   19.9  52.0   4   4   0.00013     0.038   10.3   7.1   301   401   684   784   678   795 0.78 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 2119at5820           -            997   9.1e-05   18.9   3.2   1   3      0.23        68   -0.5   0.5   959   984    40    65    36    73 0.88 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 2119at5820           -            997   9.1e-05   18.9   3.2   2   3   3.1e-07   9.1e-05   18.9   3.2   297   406   210   320   170   327 0.78 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 2119at5820           -            997   9.1e-05   18.9   3.2   3   3     0.031       9.3    2.3   1.7   598   699   463   560   433   586 0.68 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 2119at5820           -            997   0.00017   18.0   3.9   1   4         1   3.1e+02   -2.7   0.0    63    93    79   109    72   122 0.89 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 2119at5820           -            997   0.00017   18.0   3.9   2   4     0.082        24    1.0   1.9   525   574   312   361   281   441 0.58 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 2119at5820           -            997   0.00017   18.0   3.9   3   4    0.0032      0.94    5.6   0.0   779   810   562   593   552   596 0.93 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 2119at5820           -            997   0.00017   18.0   3.9   4   4   0.00039      0.12    8.7   0.0   855   916   599   660   597   665 0.90 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 2119at5820           -            997   0.00017   18.0  10.4   1   3       2.1   6.2e+02   -3.7   6.7   525   595   104   184    68   194 0.64 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 2119at5820           -            997   0.00017   18.0  10.4   2   3       1.4   4.1e+02   -3.1   3.5   583   635   224   276   218   287 0.85 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 2119at5820           -            997   0.00017   18.0  10.4   3   3   5.8e-07   0.00017   18.0  10.4   506   677   431   604   392   622 0.63 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 2119at5820           -            997    0.0002   17.8  14.5   1   4    0.0034         1    5.5   1.6   477   552    74   147    42   215 0.57 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 2119at5820           -            997    0.0002   17.8  14.5   2   4   0.00031     0.093    9.0   0.1   178   274   374   471   370   484 0.85 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 2119at5820           -            997    0.0002   17.8  14.5   3   4   0.00029     0.085    9.1   0.5   524   588   544   611   538   618 0.87 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 2119at5820           -            997    0.0002   17.8  14.5   4   4     0.058        17    1.5   0.0   547   581   610   644   605   648 0.85 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 2119at5820           -            997    0.0006   16.2  11.5   1   3   6.8e-05      0.02   11.2   4.4   551   679    88   216    52   240 0.71 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 2119at5820           -            997    0.0006   16.2  11.5   2   3     0.015       4.4    3.4   0.0   756   810   271   323   254   327 0.76 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 2119at5820           -            997    0.0006   16.2  11.5   3   3    0.0063       1.9    4.6   0.3   859   902   334   377   324   391 0.80 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 2119at5820           -            997    0.0022   14.4   2.2   1   2   1.1e-05    0.0031   13.8   0.0   230   384   107   266    70   272 0.79 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 2119at5820           -            997    0.0022   14.4   2.2   2   2      0.23        68   -0.5   0.7   170   238   464   533   404   551 0.54 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 2119at5820           -            997    0.0084   12.4   3.5   1   3     0.011       3.3    3.8   0.1   342   395   113   166    87   179 0.77 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 2119at5820           -            997    0.0084   12.4   3.5   2   3   0.00062      0.18    8.0   0.9   323   401   438   516   435   525 0.89 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
