#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1019600.1-p1   -            987 3175at5820           -            591  4.4e-234  777.1   9.6   1   6   1.7e-08   1.8e-05   22.2   0.0    24    60   159   198   154   206 0.86 | transcript=PVP01_1019600.1 | gene=PVP01_1019600 | organism=Plasmodium_vivax_P01 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=PvP01_10_v2:857498-860461(-) | protein_length=987 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024400.1-p1   -            751 3175at5820           -            591   1.9e-10   38.6   0.9   4   4   0.00016      0.17    9.1   0.0   555   590   705   740   684   741 0.87 | transcript=PVP01_1024400.1 | gene=PVP01_1024400 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_10_v2:1063035-1065290(-) | protein_length=751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 3175at5820           -            591   8.9e-10   36.4   3.3   1   3    0.0002      0.21    8.7   1.4   248   334   325   405   314   440 0.57 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 3175at5820           -            591   8.9e-10   36.4   3.3   2   3   0.00027       0.3    8.3   0.0   466   525   467   526   449   532 0.77 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413100.1-p1   -            580 3175at5820           -            591   8.9e-10   36.4   3.3   3   3   4.4e-07   0.00048   17.5   0.0   556   590   535   569   521   570 0.83 | transcript=PVP01_0413100.1 | gene=PVP01_0413100 | organism=Plasmodium_vivax_P01 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=PvP01_04_v2:534169-535911(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332100.1-p1   -            677 3175at5820           -            591   2.8e-09   34.7   5.6   1   2   5.8e-09   6.3e-06   23.7   5.5   196   314   309   425   281   501 0.80 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1332100.1-p1   -            677 3175at5820           -            591   2.8e-09   34.7   5.6   2   2   0.00019      0.21    8.8   0.0   547   589   625   668   612   669 0.81 | transcript=PVP01_1332100.1 | gene=PVP01_1332100 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_13_v2:1376110-1378143(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204700.1-p1   -            585 3175at5820           -            591   1.2e-07   29.3   0.1   1   2   2.9e-07   0.00031   18.1   0.1   192   313   253   371   231   381 0.82 | transcript=PVP01_1204700.1 | gene=PVP01_1204700 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_12_v2:187450-189480(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1204700.1-p1   -            585 3175at5820           -            591   1.2e-07   29.3   0.1   2   2   0.00017      0.18    8.9   0.0   555   590   541   576   533   577 0.92 | transcript=PVP01_1204700.1 | gene=PVP01_1204700 | organism=Plasmodium_vivax_P01 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=PvP01_12_v2:187450-189480(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3175at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:59 2026
# [ok]
