#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1005400.1-p1   -            437 8463at5820           -            312  1.1e-174  578.4  42.9   1   2   5.3e-06    0.0029   15.4   8.7     5    41    31    71    23    75 0.76 | transcript=PVP01_1005400.1 | gene=PVP01_1005400 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=PvP01_10_v2:247939-250570(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 8463at5820           -            312   1.2e-10   39.6  15.2   1   1   5.9e-13   3.2e-10   38.2  15.2   130   254   429   552   411   597 0.69 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 8463at5820           -            312   1.8e-10   39.0   4.7   1   1   6.1e-13   3.3e-10   38.2   4.7   113   242   417   540   404   579 0.63 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 8463at5820           -            312   1.6e-07   29.4  21.6   1   1   4.5e-09   2.4e-06   25.5  21.6   131   276   100   272    13   279 0.58 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8463at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8463at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8463at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:14 2026
# [ok]
