#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1313400.1-p1   -           1648 1254at5820           -           1057         0 1814.8 158.1   1   8   1.2e-27   2.6e-24   83.8   5.6     1    74    30   113    30   119 0.88 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1254at5820           -           1057   4.3e-49  165.9 105.1   4   6   2.4e-06    0.0052   13.3   0.1   696   741  1493  1539  1489  1545 0.90 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1254at5820           -           1057   4.3e-49  165.9 105.1   5   6   1.4e-08   3.1e-05   20.7   4.6   743   802  1646  1707  1639  1764 0.79 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445400.1-p1   -           2015 1254at5820           -           1057   4.3e-49  165.9 105.1   6   6   1.7e-10   3.6e-07   27.0   9.3   892  1054  1829  2011  1821  2014 0.70 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 1254at5820           -           1057   7.3e-07   26.0  72.5   1   4         3   6.5e+03   -7.4   9.7   301   397    51   142    25   150 0.75 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 1254at5820           -           1057   7.3e-07   26.0  72.5   2   4   5.4e-10   1.2e-06   25.4  54.8   187   646   156   623   150   631 0.73 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 1254at5820           -           1057   7.3e-07   26.0  72.5   3   4     3e-07   0.00065   16.3   9.6   717   803  1183  1268  1160  1327 0.78 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 1254at5820           -           1057   7.3e-07   26.0  72.5   4   4      0.37     8e+02   -3.9  12.6   930  1052  1329  1448  1276  1449 0.75 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1254at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1254at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1254at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:11 2026
# [ok]
