#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1439800.1-p1   -            833 3491at5820           -            604  1.5e-302 1003.3  70.2   1   4  4.1e-271  1.6e-268  891.0  42.7     1   464    31   522    31   533 0.96 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 3491at5820           -            604     7e-13   46.7  13.7   1   3   3.6e-08   1.4e-05   22.6   3.5    72   150    64   143    52   213 0.86 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 3491at5820           -            604     7e-13   46.7  13.7   2   3   9.5e-07   0.00036   17.9   0.0   117   215   390   489   374   499 0.89 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 3491at5820           -            604     7e-13   46.7  13.7   3   3   0.00064      0.24    8.6   3.1   333   425   541   640   524   649 0.81 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 3491at5820           -            604   1.2e-09   35.9  24.2   1   6      0.11        41    1.2   0.0   114   153    93   132    80   138 0.67 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 3491at5820           -            604   1.2e-09   35.9  24.2   2   6     0.014       5.2    4.2   0.3    87   120   194   227   185   240 0.84 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 3491at5820           -            604   1.2e-09   35.9  24.2   3   6   4.2e-07   0.00016   19.1   2.8    81   154   346   423   334   431 0.83 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 3491at5820           -            604   1.2e-09   35.9  24.2   4   6    0.0019      0.74    7.0   0.3   403   431   426   454   421   493 0.68 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 3491at5820           -            604   1.2e-09   35.9  24.2   5   6   0.00023      0.09   10.0   0.1   195   251   549   610   545   634 0.72 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 3491at5820           -            604   1.2e-09   35.9  24.2   6   6    0.0028       1.1    6.4   0.1    78   140   742   802   732   827 0.81 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3491at5820           -            604   2.8e-09   34.8   6.3   1   3      0.28   1.1e+02   -0.2   0.0   230   265   107   145    76   147 0.75 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3491at5820           -            604   2.8e-09   34.8   6.3   2   3   1.6e-06    0.0006   17.2   0.5   134   220   196   283   187   312 0.82 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 3491at5820           -            604   2.8e-09   34.8   6.3   3   3   4.5e-07   0.00017   19.0   0.3    84   212   413   547   403   565 0.77 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263800.1-p1   -            596 3491at5820           -            604   4.7e-09   34.1  20.3   1   3     0.019       7.3    3.7   7.3    81   213    34   169    29   181 0.81 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263800.1-p1   -            596 3491at5820           -            604   4.7e-09   34.1  20.3   2   3   1.2e-11   4.7e-09   34.1  20.3    81   253   216   388   199   404 0.88 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263800.1-p1   -            596 3491at5820           -            604   4.7e-09   34.1  20.3   3   3       1.3   4.8e+02   -2.3   0.3   182   243   501   559   493   577 0.76 | transcript=PVP01_1263800.1 | gene=PVP01_1263800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_12_v2:2634322-2636348(-) | protein_length=596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1425300.1-p1   -            943 3491at5820           -            604   1.5e-08   32.4   7.2   1   1   3.3e-07   0.00013   19.4   2.1    66   181   293   408   271   414 0.74 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822200.1-p1   -            634 3491at5820           -            604   1.5e-08   32.4   7.2   1   3   2.9e-08   1.1e-05   22.9   0.1   104   195   156   247   130   257 0.91 | transcript=PVP01_0822200.1 | gene=PVP01_0822200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_08_v2:983013-985116(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822200.1-p1   -            634 3491at5820           -            604   1.5e-08   32.4   7.2   2   3    0.0004      0.15    9.2   0.2   260   298   345   383   313   391 0.76 | transcript=PVP01_0822200.1 | gene=PVP01_0822200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_08_v2:983013-985116(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822200.1-p1   -            634 3491at5820           -            604   1.5e-08   32.4   7.2   3   3     0.036        14    2.8   0.3   126   198   476   552   448   574 0.78 | transcript=PVP01_0822200.1 | gene=PVP01_0822200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_08_v2:983013-985116(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 3491at5820           -            604   1.7e-07   28.9   7.1   1   3      0.98   3.8e+02   -2.0   0.3   531   583   261   316   241   331 0.59 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 3491at5820           -            604   1.7e-07   28.9   7.1   2   3   4.4e-10   1.7e-07   28.9   7.1    56   184   480   608   470   644 0.83 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722700.1-p1   -            951 3491at5820           -            604   1.7e-07   28.9   7.1   3   3      0.36   1.4e+02   -0.5   0.3   314   371   739   796   713   820 0.75 | transcript=PVP01_0722700.1 | gene=PVP01_0722700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:979726-982581(+) | protein_length=951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618100.1-p1   -            512 3491at5820           -            604   4.4e-07   27.5   9.4   1   1   1.4e-09   5.2e-07   27.3   7.8    50   219    59   228    50   273 0.84 | transcript=PVP01_0618100.1 | gene=PVP01_0618100 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=PvP01_06_v2:740995-742533(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 3491at5820           -            604   1.6e-05   22.4   3.1   1   3    0.0023      0.87    6.7   0.1   142   216    91   167    78   175 0.82 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 3491at5820           -            604   1.6e-05   22.4   3.1   2   3     0.026        10    3.2   0.0   186   253   250   316   243   325 0.83 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 3491at5820           -            604   1.6e-05   22.4   3.1   3   3   0.00011     0.044   11.0   0.3   143   214   438   509   434   530 0.65 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 3491at5820           -            604   2.4e-05   21.8   2.6   1   1   8.6e-08   3.3e-05   21.3   2.6    67   226    76   236    60   276 0.92 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 3491at5820           -            604   4.3e-05   20.9   0.2   1   4       4.3   1.6e+03   -4.1   3.4   202   292    83   171    65   193 0.54 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 3491at5820           -            604   4.3e-05   20.9   0.2   2   4       8.3   3.2e+03   -5.0   2.1   369   407   236   274   228   292 0.58 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 3491at5820           -            604   4.3e-05   20.9   0.2   3   4     0.016       6.2    3.9   1.2   158   251   404   499   387   513 0.83 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 3491at5820           -            604   4.3e-05   20.9   0.2   4   4   1.1e-07   4.3e-05   20.9   0.2   139   227   500   586   484   609 0.79 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 3491at5820           -            604   0.00012   19.5  19.9   1   4   4.8e-07   0.00018   18.9   0.9   142   216   198   273   188   279 0.86 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 3491at5820           -            604   0.00012   19.5  19.9   2   4     0.015       5.8    4.0   1.0   354   394   275   316   271   330 0.73 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 3491at5820           -            604   0.00012   19.5  19.9   3   4    0.0012      0.45    7.7   2.3    91   184   465   556   459   599 0.70 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942700.1-p1   -            735 3491at5820           -            604   0.00012   19.5  19.9   4   4       1.1   4.2e+02   -2.1   0.0   182   212   676   706   673   710 0.89 | transcript=PVP01_0942700.1 | gene=PVP01_0942700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_09_v2:1885654-1887861(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 3491at5820           -            604   0.00044   17.6   4.4   1   2     0.012       4.7    4.3   1.1    47   110    52   115    46   129 0.64 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 3491at5820           -            604   0.00044   17.6   4.4   2   2   1.5e-05    0.0057   13.9   0.1   109   209   152   256   129   261 0.82 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 3491at5820           -            604   0.00053   17.4  33.8   1   4    0.0042       1.6    5.9   5.9   148   250   149   250    17   277 0.67 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 3491at5820           -            604   0.00053   17.4  33.8   2   4   6.5e-05     0.025   11.8   0.8   125   177   296   348   292   354 0.92 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 3491at5820           -            604   0.00053   17.4  33.8   3   4     6e-06    0.0023   15.2   6.2   353   461   356   464   349   516 0.87 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004200.1-p1   -            927 3491at5820           -            604   0.00053   17.4  33.8   4   4      0.74   2.9e+02   -1.6   0.4   267   296   889   919   837   926 0.63 | transcript=PVP01_1004200.1 | gene=PVP01_1004200 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_10_v2:210343-213257(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3491at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3491at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:02 2026
# [ok]
