#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0728700.1-p1   -            635 6365at5820           -            498  1.1e-229  761.5  65.5   1   3   9.1e-82   5.4e-79  264.5  25.1     1   183    23   226    23   232 0.93 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   5   8   1.9e-08   1.1e-05   22.7  12.9    67   161  1021  1118  1020  1148 0.79 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   6   8   0.00022      0.13    9.2   3.0    52    97  1165  1210  1151  1215 0.70 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   7   8   3.8e-08   2.2e-05   21.7   2.5    60   123  1226  1292  1223  1296 0.83 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 6365at5820           -            498   2.5e-27   94.1  88.9   8   8   2.5e-07   0.00015   18.9   3.2    87   148  1300  1365  1298  1381 0.79 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 6365at5820           -            498   3.6e-22   77.1  47.4   1   2   1.9e-14   1.1e-11   42.5  17.0    68   158    29   119    14   120 0.94 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 6365at5820           -            498   3.6e-22   77.1  47.4   2   2   4.8e-16   2.9e-13   47.7  22.5    65   176    70   185    70   195 0.89 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 6365at5820           -            498     3e-17   60.8  15.3   1   2   5.1e-20     3e-17   60.8  15.3    45   167    37   158    18   163 0.93 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 6365at5820           -            498     3e-17   60.8  15.3   2   2     0.014       8.1    3.3   0.4   146   175   260   289   241   300 0.81 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 6365at5820           -            498   2.3e-15   54.6   8.6   1   1   6.1e-18   3.6e-15   54.0   8.6    59   169    47   158    36   189 0.91 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 6365at5820           -            498   1.6e-13   48.5  82.6   1   3   5.4e-10   3.2e-07   27.7  25.6    56   157    28   128    19   135 0.91 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 6365at5820           -            498   1.6e-13   48.5  82.6   2   3   6.7e-11     4e-08   30.8  20.3    61   145    76   160    72   167 0.94 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 6365at5820           -            498   1.6e-13   48.5  82.6   3   3     8e-07   0.00047   17.3  20.7    52   182   133   264   128   291 0.67 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 6365at5820           -            498   2.3e-12   44.7  16.5   1   1   5.9e-15   3.5e-12   44.1  16.5    59   179    15   138     8   203 0.88 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 6365at5820           -            498   2.3e-11   41.4  37.1   1   2   7.9e-11   4.7e-08   30.5  15.8    44   145   105   208    93   210 0.88 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 6365at5820           -            498   2.3e-11   41.4  37.1   2   2     2e-06    0.0012   16.0  19.1    63   165   192   293   190   319 0.88 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 6365at5820           -            498   7.8e-09   33.1  18.2   1   1   1.5e-11     9e-09   32.9  18.2    42   162    18   146     2   164 0.78 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 6365at5820           -            498     2e-06   25.1   8.5   1   1   4.8e-09   2.8e-06   24.6   8.5    59   169    25   144    22   199 0.87 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6365at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6365at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6365at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:11 2026
# [ok]
