#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0946200.1-p1   -            783 4072at5820           -            548  9.4e-295  976.7  56.8   1   2  1.9e-172    9e-170  564.2  35.5     4   324   182   508   180   513 0.98 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 4072at5820           -            548   7.6e-25   85.8  31.0   3   3   7.3e-14   3.4e-11   40.7   0.2   440   545   790   893   761   896 0.90 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 4072at5820           -            548   2.1e-18   64.6  28.5   1   3     0.003       1.4    5.7  10.7   144   291   258   405   198   411 0.76 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 4072at5820           -            548   2.1e-18   64.6  28.5   2   3   1.5e-14   7.1e-12   43.0   1.8   330   427   485   588   480   591 0.83 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 4072at5820           -            548   2.1e-18   64.6  28.5   3   3   1.5e-09     7e-07   26.5   1.4   446   544   698   792   664   795 0.87 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 4072at5820           -            548     1e-12   45.8   0.4   1   1   5.1e-15   2.4e-12   44.6   0.4   348   527    57   235    33   256 0.84 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447300.1-p1   -           2007 4072at5820           -            548   1.7e-08   31.9   6.1   1   3     1e-08   4.7e-06   23.8   0.1   344   484   707   836   703   860 0.79 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447300.1-p1   -           2007 4072at5820           -            548   1.7e-08   31.9   6.1   2   3     2e-07   9.4e-05   19.5   2.7   326   411  1726  1811  1715  1861 0.81 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447300.1-p1   -           2007 4072at5820           -            548   1.7e-08   31.9   6.1   3   3     0.038        18    2.1   0.1   503   544  1943  1983  1913  1987 0.78 | transcript=PVP01_1447300.1 | gene=PVP01_1447300 | organism=Plasmodium_vivax_P01 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=PvP01_14_v2:2052099-2058122(-) | protein_length=2007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4072at5820           -            548   1.1e-07   29.1  22.2   1   5     0.029        14    2.5   0.7   341   373   194   226   172   238 0.83 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4072at5820           -            548   1.1e-07   29.1  22.2   2   5   0.00027      0.12    9.2   0.2   463   528   360   421   351   439 0.80 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4072at5820           -            548   1.1e-07   29.1  22.2   3   5      0.27   1.3e+02   -0.8   0.3   327   533   524   553   516   571 0.56 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4072at5820           -            548   1.1e-07   29.1  22.2   4   5   2.1e-08   9.9e-06   22.7   1.8   337   422   584   674   580   690 0.73 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 4072at5820           -            548   1.1e-07   29.1  22.2   5   5    0.0015      0.69    6.7   0.0   466   506   696   736   687   770 0.79 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 4072at5820           -            548     7e-07   26.5   9.0   1   1   9.8e-07   0.00046   17.2   9.0   340   526    20   190     2   210 0.76 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4072at5820           -            548   1.6e-06   25.3   3.7   1   2     8e-05     0.037   10.9   9.2   308   434   167   285   161   309 0.80 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 4072at5820           -            548   1.6e-06   25.3   3.7   2   2   3.4e-09   1.6e-06   25.3   3.7   331   384   809   868   780   871 0.79 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 4072at5820           -            548   2.5e-06   24.7   2.7   1   1   4.7e-08   2.2e-05   21.6   2.7   343   542   118   325   102   330 0.72 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 4072at5820           -            548   0.00013   19.0  10.5   1   4      0.25   1.2e+02   -0.6   0.1   192   233    19    62    13    87 0.80 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 4072at5820           -            548   0.00013   19.0  10.5   2   4     0.011       4.9    3.9   0.1   360   536   122   301    95   309 0.74 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 4072at5820           -            548   0.00013   19.0  10.5   3   4    0.0018      0.86    6.4   0.1   342   404   375   439   328   456 0.65 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 4072at5820           -            548   0.00013   19.0  10.5   4   4   1.7e-05     0.008   13.1   0.3   456   538   471   554   461   561 0.79 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4072at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:02 2026
# [ok]
