#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1445400.1-p1   -           2015 882at5820            -           1269         0 2419.6 144.3   1   7   2.5e-56   5.3e-53  178.5  11.5     1   116   119   235   119   250 0.90 | transcript=PVP01_1445400.1 | gene=PVP01_1445400 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=PvP01_14_v2:1960644-1966844(+) | protein_length=2015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 882at5820            -           1269   5.5e-40  135.4  94.9   5   6   1.3e-11   2.9e-08   30.3   5.4   950  1034  1190  1272  1184  1331 0.79 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313400.1-p1   -           1648 882at5820            -           1269   5.5e-40  135.4  94.9   6   6   4.5e-06    0.0098   12.0  10.8  1119  1268  1503  1637  1469  1638 0.80 | transcript=PVP01_1313400.1 | gene=PVP01_1313400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:607400-612622(-) | protein_length=1648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 882at5820            -           1269     1e-12   45.1  79.8   1   4   2.5e-13   5.5e-10   36.0  39.9   260   532   115   409    74   430 0.71 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 882at5820            -           1269     1e-12   45.1  79.8   2   4   0.00037       0.8    5.7   4.4   701   754   502   554   428   562 0.78 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 882at5820            -           1269     1e-12   45.1  79.8   3   4   2.4e-09   5.2e-06   22.9   7.9   946  1065  1185  1298  1170  1308 0.77 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241300.1-p1   -           1449 882at5820            -           1269     1e-12   45.1  79.8   4   4      0.75   1.6e+03   -5.3  10.0  1077  1178  1268  1377  1265  1448 0.71 | transcript=PVP01_1241300.1 | gene=PVP01_1241300 | organism=Plasmodium_vivax_P01 | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=PvP01_12_v2:1683128-1687477(-) | protein_length=1449 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/882at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/882at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/882at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:48 2026
# [ok]
