#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6   1  13  4.4e-119  1.4e-115  386.0   1.3     1   260     1   301     1   303 0.88 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6  12  13   2.1e-26   6.8e-23   78.9   0.0  1210  1282  2154  2227  2146  2235 0.89 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1129700.1-p1   -           2347 842at5820            -           1358         0 1500.7  93.6  13  13   4.4e-32   1.4e-28   97.8   0.0  1290  1357  2270  2343  2261  2344 0.92 | transcript=PVP01_1129700.1 | gene=PVP01_1129700 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1269370-1276630(+) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 842at5820            -           1358     0.019   11.2   0.1   1   1   7.9e-06     0.026   10.8   0.1    49   120   295   365   290   398 0.76 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:04 2026
# [ok]
