#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1419300.1-p1   -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  7.8e-173  1.3e-169  564.7  21.4     1   289     1   283     1   289 0.94 | transcript=PVP01_1419300.1 | gene=PVP01_1419300 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=PvP01_14_v2:836387-840362(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1919at5820           -           1069   2.4e-19   67.2  45.3   1   6     2e-17   3.3e-14   50.2  39.6     3   388   230   603   228   625 0.65 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1919at5820           -           1069   2.4e-19   67.2  45.3   2   6         4   6.5e+03  -13.4  20.3   693   796   688   801   622   858 0.46 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1919at5820           -           1069   2.4e-19   67.2  45.3   3   6       1.5   2.5e+03   -5.7  17.4   210   322  1023  1133  1015  1146 0.68 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1919at5820           -           1069   2.4e-19   67.2  45.3   4   6         4   6.5e+03   -9.5  26.8   277   389  1140  1257  1130  1278 0.59 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1919at5820           -           1069   2.4e-19   67.2  45.3   5   6       1.3   2.1e+03   -5.4  10.8   721   832  1385  1501  1374  1512 0.61 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1919at5820           -           1069   2.4e-19   67.2  45.3   6   6   2.1e-11   3.4e-08   30.2   0.3   955  1030  1521  1594  1507  1617 0.89 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1919at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:21 2026
# [ok]
