#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0713500.1-p1   -            159 12619at5820          -            157  2.7e-110  363.4   0.6   1   1  5.9e-113    3e-110  363.2   0.6     1   157     1   159     1   159 0.99 | transcript=PVP01_0713500.1 | gene=PVP01_0713500 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=PvP01_07_v2:630597-631487(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336000.1-p1   -            301 12619at5820          -            157   6.5e-11   40.4   0.3   2   2   7.3e-13   3.7e-10   38.0   0.1    40   120   186   267   157   280 0.89 | transcript=PVP01_1336000.1 | gene=PVP01_1336000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_13_v2:1553686-1555862(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209300.1-p1   -            262 12619at5820          -            157   1.6e-08   32.7   0.1   1   1   5.2e-11   2.6e-08   32.0   0.1    36   121   145   231   118   248 0.87 | transcript=PVP01_1209300.1 | gene=PVP01_1209300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=PvP01_12_v2:382832-383620(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0834500.1-p1   -            139 12619at5820          -            157   1.1e-07   29.9   0.0   1   1   2.7e-10   1.4e-07   29.6   0.0    35   126    37   131    18   138 0.84 | transcript=PVP01_0834500.1 | gene=PVP01_0834500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-conjugating enzyme MMS2, putative | transcript_product=ubiquitin-conjugating enzyme MMS2, putative | location=PvP01_08_v2:1453070-1453923(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12619at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12619at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12619at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:26 2026
# [ok]
