#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1125200.1-p1   -            185 13550at5820          -            150   1.9e-85  282.9  12.3   1   1     1e-87   8.3e-85  280.8  12.3     1   150    22   185    22   185 0.93 | transcript=PVP01_1125200.1 | gene=PVP01_1125200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:1101312-1103077(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 13550at5820          -            150   4.2e-12   44.8  30.0   1   6   0.00073      0.59    8.6   2.2    30   132   148   256   135   264 0.75 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 13550at5820          -            150   4.2e-12   44.8  30.0   2   6      0.25     2e+02    0.4   0.1    71    93   258   280   254   284 0.84 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 13550at5820          -            150   4.2e-12   44.8  30.0   3   6     0.076        62    2.0   0.1    99   127   304   332   292   336 0.88 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 13550at5820          -            150   4.2e-12   44.8  30.0   4   6   1.2e-08   9.9e-06   24.1   1.8    66   128   332   396   310   400 0.87 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 13550at5820          -            150   4.2e-12   44.8  30.0   5   6   0.00021      0.17   10.3   0.3    70   127   401   461   396   466 0.83 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 13550at5820          -            150   4.2e-12   44.8  30.0   6   6   8.6e-06    0.0071   14.8   3.2    74   131   470   530   464   539 0.82 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 13550at5820          -            150   0.00041   18.9  13.2   1   3      0.46   3.7e+02   -0.5   0.5    44    58    45    59    25    83 0.61 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 13550at5820          -            150   0.00041   18.9  13.2   2   3   3.8e-06    0.0031   16.0   2.9    68   128   124   186    72   197 0.70 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 13550at5820          -            150   0.00041   18.9  13.2   3   3    0.0004      0.33    9.4   0.2    79   129   197   248   186   267 0.86 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13550at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13550at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13550at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:42 2026
# [ok]
