#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1008800.1-p1   -           1006 7767at5820           -            425  7.4e-194  643.1 157.0   1   5  2.7e-112  1.8e-109  365.1  15.3     1   203    14   217    14   228 0.82 | transcript=PVP01_1008800.1 | gene=PVP01_1008800 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:392188-395208(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 7767at5820           -            425   1.1e-25   89.0   7.4   3   3      0.56   3.7e+02   -1.7   0.6   234   262   447   479   396   506 0.49 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7767at5820           -            425   6.3e-22   76.6   6.4   1   5   9.6e-25   6.3e-22   76.6   6.4    14   117     8   113     3   121 0.91 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7767at5820           -            425   6.3e-22   76.6   6.4   2   5        10   6.5e+03  -26.1  33.5   167   322   179   333   170   354 0.50 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7767at5820           -            425   6.3e-22   76.6   6.4   3   5        10   6.5e+03  -11.7  17.1   148   236   278   362   260   378 0.51 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7767at5820           -            425   6.3e-22   76.6   6.4   4   5       4.9   3.2e+03   -4.8   4.3   222   267   506   551   460   589 0.59 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 7767at5820           -            425   6.3e-22   76.6   6.4   5   5        10   6.5e+03   -9.2  13.0   139   272   799   938   784   953 0.57 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7767at5820           -            425   1.3e-21   75.6  11.5   1   7        10   6.5e+03  -17.2  22.4   172   325    50   212    14   224 0.55 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7767at5820           -            425   1.3e-21   75.6  11.5   2   7     2e-24   1.3e-21   75.6  11.5    16   117   384   489   378   499 0.88 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7767at5820           -            425   1.3e-21   75.6  11.5   3   7        10   6.5e+03  -10.8  10.5   149   202   672   727   654   754 0.42 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7767at5820           -            425   1.3e-21   75.6  11.5   4   7        10   6.5e+03  -15.4  16.7   133   263  1109  1242  1092  1259 0.45 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7767at5820           -            425   1.3e-21   75.6  11.5   5   7         1   6.7e+02   -2.6   3.6   171   222  1332  1383  1324  1436 0.79 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7767at5820           -            425   1.3e-21   75.6  11.5   6   7        10   6.5e+03   -6.5   6.1   158   227  1675  1745  1655  1765 0.71 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1011000.1-p1   -           1940 7767at5820           -            425   1.3e-21   75.6  11.5   7   7       1.4   9.4e+02   -3.0   0.1   139   193  1781  1836  1749  1869 0.71 | transcript=PVP01_1011000.1 | gene=PVP01_1011000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_10_v2:487317-493139(-) | protein_length=1940 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7767at5820           -            425   9.7e-19   66.1   8.9   1   5        10   6.5e+03   -8.1   7.9   148   248   223   324   185   344 0.59 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7767at5820           -            425   9.7e-19   66.1   8.9   2   5   1.5e-21   9.7e-19   66.1   8.9    15   117   487   589   482   594 0.95 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7767at5820           -            425   9.7e-19   66.1   8.9   3   5        10   6.5e+03  -11.6  10.0   164   249  1359  1446  1335  1477 0.52 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7767at5820           -            425   9.7e-19   66.1   8.9   4   5        10   6.5e+03   -7.9   7.9   274   318  1609  1653  1559  1725 0.62 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935400.1-p1   -           2214 7767at5820           -            425   9.7e-19   66.1   8.9   5   5        10   6.5e+03  -19.1  22.8   149   315  1803  1967  1790  1973 0.38 | transcript=PVP01_0935400.1 | gene=PVP01_0935400 | organism=Plasmodium_vivax_P01 | gene_product=CCCH-type zinc finger protein ZNF4, putative | transcript_product=CCCH-type zinc finger protein ZNF4, putative | location=PvP01_09_v2:1514805-1521449(-) | protein_length=2214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 7767at5820           -            425   1.1e-17   62.7  29.6   1   3   1.6e-20   1.1e-17   62.7  29.6    14   221    21   230     8   296 0.65 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 7767at5820           -            425   1.1e-17   62.7  29.6   2   3      0.78   5.1e+02   -2.2   1.1   224   265   414   455   338   514 0.55 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 7767at5820           -            425   1.1e-17   62.7  29.6   3   3        10   6.5e+03   -6.5   9.6   206   295   840   935   793  1002 0.54 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 7767at5820           -            425   7.4e-17   59.9   6.0   1   2   1.1e-19   7.4e-17   59.9   6.0    16   116     5   101     2   105 0.94 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 7767at5820           -            425   7.4e-17   59.9   6.0   2   2       3.6   2.3e+03   -4.3   0.4   190   220   220   252   187   263 0.50 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 7767at5820           -            425   1.5e-15   55.6   1.6   1   2   2.2e-18   1.5e-15   55.6   1.6    17   142     2   124     1   175 0.84 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 7767at5820           -            425   1.5e-15   55.6   1.6   2   2       7.1   4.6e+03   -5.3   2.1   170   171   392   393   340   444 0.49 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323700.1-p1   -           1314 7767at5820           -            425   2.9e-09   34.9   3.2   1   1   7.3e-12   4.7e-09   34.2   3.2    46   118   187   259   171   267 0.91 | transcript=PVP01_1323700.1 | gene=PVP01_1323700 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:1061535-1065479(+) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:47 2026
# [ok]
