#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0409600.1-p1   -            793 4771at5820           -            726         0 1023.4  10.3   1   1         0         0 1021.3  10.3    15   726    32   793     4   793 0.75 | transcript=PVP01_0409600.1 | gene=PVP01_0409600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:388246-390629(+) | protein_length=793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806900.1-p1   -            529 4771at5820           -            726       0.2    8.3  27.0   1   1    0.0011      0.29    7.9  27.0   377   495   392   510   365   528 0.31 | transcript=PVP01_0806900.1 | gene=PVP01_0806900 | organism=Plasmodium_vivax_P01 | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=PvP01_08_v2:295899-298199(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1147800.1-p1   -            331 4771at5820           -            726      0.26    8.0  14.7   1   1    0.0012      0.31    7.8  14.7   404   516    84   193    35   244 0.48 | transcript=PVP01_1147800.1 | gene=PVP01_1147800 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_11_v2:2049906-2051114(+) | protein_length=331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 4771at5820           -            726      0.53    7.0  29.3   1   1    0.0034      0.86    6.3  29.3   371   526    57   210    52   224 0.50 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208200.1-p1   -            292 4771at5820           -            726      0.79    6.4  14.2   1   1     0.004      0.99    6.1  14.2   388   468    66   137    42   183 0.36 | transcript=PVP01_0208200.1 | gene=PVP01_0208200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_02_v2:342180-343058(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 4771at5820           -            726      0.95    6.1  32.1   1   2    0.0023      0.57    6.9  12.1   447   515   216   285   179   311 0.45 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 4771at5820           -            726      0.95    6.1  32.1   2   2    0.0079         2    5.1  11.9   442   513   399   466   347   493 0.40 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525600.1-p1   -            218 4771at5820           -            726       1.7    5.3  18.0   1   1    0.0076       1.9    5.1  18.0   379   508    63   192    26   204 0.57 | transcript=PVP01_0525600.1 | gene=PVP01_0525600 | organism=Plasmodium_vivax_P01 | gene_product=PRKR-interacting protein 1, putative | transcript_product=PRKR-interacting protein 1, putative | location=PvP01_05_v2:1037727-1038383(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720100.1-p1   -           1587 4771at5820           -            726       1.7    5.3  28.3   1   3       1.8   4.5e+02   -2.7   0.0   489   558   223   294   208   304 0.59 | transcript=PVP01_0720100.1 | gene=PVP01_0720100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_07_v2:873524-878399(+) | protein_length=1587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720100.1-p1   -           1587 4771at5820           -            726       1.7    5.3  28.3   2   3       4.4   1.1e+03   -4.0   0.0   537   552  1203  1218  1195  1219 0.77 | transcript=PVP01_0720100.1 | gene=PVP01_0720100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_07_v2:873524-878399(+) | protein_length=1587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720100.1-p1   -           1587 4771at5820           -            726       1.7    5.3  28.3   3   3    0.0087       2.2    4.9  26.9   390   531  1430  1584  1395  1587 0.44 | transcript=PVP01_0720100.1 | gene=PVP01_0720100 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_07_v2:873524-878399(+) | protein_length=1587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 4771at5820           -            726       2.2    5.0  26.2   1   2     0.023       5.8    3.5  23.4   375   538     6   181     1   185 0.47 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 4771at5820           -            726       2.2    5.0  26.2   2   2      0.08        20    1.8   0.0   580   631   369   416   363   422 0.76 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0505300.1-p1   -            216 4771at5820           -            726       2.8    4.6  28.4   1   1     0.014       3.6    4.2  28.4   387   534    17   171     5   183 0.42 | transcript=PVP01_0505300.1 | gene=PVP01_0505300 | organism=Plasmodium_vivax_P01 | gene_product=coiled-coil domain-containing protein 124, putative | transcript_product=coiled-coil domain-containing protein 124, putative | location=PvP01_05_v2:239065-240765(-) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270700.1-p1   -            393 4771at5820           -            726       2.9    4.5  31.9   1   1     0.015       3.9    4.1  31.9   389   530   232   371   214   380 0.50 | transcript=PVP01_1270700.1 | gene=PVP01_1270700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2986799-2988087(+) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440900.1-p1   -            193 4771at5820           -            726       3.2    4.4  14.1   1   1     0.016         4    4.1  14.1   421   519     9   109     2   130 0.35 | transcript=PVP01_1440900.1 | gene=PVP01_1440900 | organism=Plasmodium_vivax_P01 | gene_product=glideosome-associated protein 45, putative | transcript_product=glideosome-associated protein 45, putative | location=PvP01_14_v2:1778819-1779400(+) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461800.1-p1   -            205 4771at5820           -            726         4    4.1  36.5   1   1     0.021       5.3    3.7  36.5   397   535    56   172    17   201 0.30 | transcript=PVP01_1461800.1 | gene=PVP01_1461800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2670285-2671250(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 4771at5820           -            726       4.3    4.0  22.6   1   2     0.001      0.26    8.0  16.9   379   528   101   157    80   181 0.31 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 4771at5820           -            726       4.3    4.0  22.6   2   2      0.86   2.2e+02   -1.6   0.3   128   532   282   292   240   308 0.49 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331200.1-p1   -            228 4771at5820           -            726       4.9    3.8  23.6   1   1     0.023       5.8    3.5  23.6   419   534    33   150     4   179 0.40 | transcript=PVP01_1331200.1 | gene=PVP01_1331200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1308345-1309900(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919900.1-p1   -            316 4771at5820           -            726       7.7    3.1  16.0   1   1     0.041        10    2.7  16.0   367   500   173   303   169   314 0.40 | transcript=PVP01_0919900.1 | gene=PVP01_0919900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF small subunit, putative | transcript_product=splicing factor U2AF small subunit, putative | location=PvP01_09_v2:864272-865222(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4771at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4771at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:58 2026
# [ok]
