#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1120300.1-p1   -            380 7192at5820           -            334  5.6e-206  681.4  19.6   1   1  2.5e-208    7e-206  681.1  19.6    10   334    45   376    37   376 0.98 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335000.1-p1   -            381 7192at5820           -            334     4e-19   67.2   0.9   1   1   2.3e-21   6.5e-19   66.5   0.9    11    79    55   124    49   161 0.92 | transcript=PVP01_1335000.1 | gene=PVP01_1335000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1518534-1520048(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909500.1-p1   -            549 7192at5820           -            334   8.1e-18   62.9   1.9   1   1   9.6e-20   2.7e-17   61.2   1.9    12    78    35   100    31   105 0.91 | transcript=PVP01_0909500.1 | gene=PVP01_0909500 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=PvP01_09_v2:501995-503644(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 7192at5820           -            334   1.2e-16   59.1   2.1   1   2      0.53   1.5e+02   -0.5   0.1    60    89   122   152   110   174 0.75 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1010500.1-p1   -            529 7192at5820           -            334   1.2e-16   59.1   2.1   2   2   4.2e-19   1.2e-16   59.1   2.1     8    81   191   262   184   268 0.88 | transcript=PVP01_1010500.1 | gene=PVP01_1010500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:464999-466920(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224200.1-p1   -            334 7192at5820           -            334   1.5e-16   58.7   0.4   1   1   8.6e-19   2.4e-16   58.0   0.4    11    73    43   108    34   173 0.84 | transcript=PVP01_1224200.1 | gene=PVP01_1224200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:937749-939756(+) | protein_length=334 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 7192at5820           -            334   1.1e-15   55.9   1.5   1   1   5.6e-18   1.6e-15   55.3   1.5    11   103     6   107     1   116 0.75 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114000.1-p1   -            856 7192at5820           -            334   4.9e-15   53.7   0.6   1   1   3.2e-17   9.1e-15   52.9   0.6    12    81   305   376   300   382 0.90 | transcript=PVP01_0114000.1 | gene=PVP01_0114000 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_01_v2:626753-629323(+) | protein_length=856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510500.1-p1   -            691 7192at5820           -            334   1.2e-13   49.1   4.2   1   2   4.4e-16   1.2e-13   49.1   4.2    10    89   141   222   137   295 0.84 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510500.1-p1   -            691 7192at5820           -            334   1.2e-13   49.1   4.2   2   2      0.63   1.8e+02   -0.7   0.7   212   273   406   469   339   496 0.73 | transcript=PVP01_0510500.1 | gene=PVP01_0510500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_05_v2:458994-461069(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 7192at5820           -            334   4.6e-12   44.0   9.3   1   3   1.2e-09   3.3e-07   28.0   0.3     5    66     2    67     1    94 0.74 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 7192at5820           -            334   4.6e-12   44.0   9.3   2   3   2.7e-07   7.5e-05   20.3   0.1    47    79   115   147   106   164 0.87 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233600.1-p1   -            339 7192at5820           -            334   4.6e-12   44.0   9.3   3   3      0.35        98    0.2   0.3   199   225   221   247   215   310 0.75 | transcript=PVP01_1233600.1 | gene=PVP01_1233600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_12_v2:1349313-1350332(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 7192at5820           -            334   1.2e-11   42.6   2.4   1   2   4.1e-14   1.2e-11   42.6   2.4    12    84     9    88     2    97 0.78 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 7192at5820           -            334   1.2e-11   42.6   2.4   2   2       4.2   1.2e+03   -3.4   0.3    89   108   141   160   133   181 0.52 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 7192at5820           -            334   1.2e-11   42.6   0.2   1   2   4.2e-14   1.2e-11   42.6   0.2    13    84    55   127    48   144 0.88 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 7192at5820           -            334   1.2e-11   42.6   0.2   2   2      0.73   2.1e+02   -0.9   0.4   135   181   244   290   230   358 0.62 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0937700.1-p1   -            381 7192at5820           -            334   1.5e-11   42.3   3.1   1   1     1e-13   2.9e-11   41.3   3.1    11    75   112   177   104   226 0.72 | transcript=PVP01_0937700.1 | gene=PVP01_0937700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_09_v2:1624006-1625762(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419700.1-p1   -            728 7192at5820           -            334   1.2e-10   39.3   0.0   1   1   9.2e-13   2.6e-10   38.2   0.0     9    74   127   194   119   201 0.86 | transcript=PVP01_1419700.1 | gene=PVP01_1419700 | organism=Plasmodium_vivax_P01 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=PvP01_14_v2:852313-854499(-) | protein_length=728 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802600.1-p1   -           1837 7192at5820           -            334   3.3e-10   37.9   2.4   1   1   3.1e-12   8.7e-10   36.5   2.4     2    86   972  1054   971  1083 0.87 | transcript=PVP01_0802600.1 | gene=PVP01_0802600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:130294-135948(+) | protein_length=1837 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115200.1-p1   -            201 7192at5820           -            334   7.1e-07   26.9   8.4   1   1     3e-09   8.6e-07   26.6   8.4    13   112     4   109     1   134 0.65 | transcript=PVP01_1115200.1 | gene=PVP01_1115200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:655035-656667(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718500.1-p1   -            268 7192at5820           -            334   0.00095   16.6   0.4   1   1   5.6e-06    0.0016   15.9   0.4     9    71   114   180   106   213 0.77 | transcript=PVP01_0718500.1 | gene=PVP01_0718500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone, putative | transcript_product=chaperone, putative | location=PvP01_07_v2:818277-820447(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 7192at5820           -            334     0.014   12.8   4.5   1   2   0.00017     0.049   11.0   4.5    11    72    71   133    62   180 0.85 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1128800.1-p1   -            358 7192at5820           -            334     0.014   12.8   4.5   2   2       0.5   1.4e+02   -0.4   0.1    55   111   143   200   134   228 0.61 | transcript=PVP01_1128800.1 | gene=PVP01_1128800 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:1248829-1249905(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1032200.1-p1   -            177 7192at5820           -            334     0.017   12.5   4.3   1   1   0.00015     0.041   11.2   4.4    13   103    10   110     6   145 0.59 | transcript=PVP01_1032200.1 | gene=PVP01_1032200 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_10_v2:1379077-1379610(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7192at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7192at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7192at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:34 2026
# [ok]
