#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0926800.1-p1   -           1228 2178at5820           -            722         0 1060.5  38.6   1   7   1.3e-24   1.7e-21   74.7   3.4     1    56    38    93    38   137 0.81 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106600.1-p1   -            534 2178at5820           -            722   6.5e-08   29.8   0.1   1   1   8.7e-11   1.1e-07   29.0   0.1   383   464    98   177    73   215 0.83 | transcript=PVP01_1106600.1 | gene=PVP01_1106600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=PvP01_11_v2:263777-265381(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2178at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2178at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2178at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:23 2026
# [ok]
